entity_id,group,outcome,model,model_sha256,model_binding_source_id,model_binding_source_sha256,field,value,json_path,source_id,source_sha256,record_role
v2|P1|overall|rSI_sMS,overall,P1,rSI_sMS,3ac455bf04f5913d137b28d987ca9f2a68962cda46a99578457cbea462d6575a,s0184,fb577a2845289c682371f2aa456ab2827110e96d0c8158dcbf898f7352391f4f,seed,20260710,seed,s1276,504df23f785be43e6770e99bb857b16c4630a27da90141862f1ec9bedae25c61,task_record
v2|P1|overall|rSI_sMS,overall,P1,rSI_sMS,3ac455bf04f5913d137b28d987ca9f2a68962cda46a99578457cbea462d6575a,s0184,fb577a2845289c682371f2aa456ab2827110e96d0c8158dcbf898f7352391f4f,runtime_packages,"{""numpy"":""2.4.4"",""pandas"":""2.3.3"",""scikit-learn"":""1.8.0"",""imbalanced-learn"":""0.14.2"",""xgboost"":""3.2.0"",""lightgbm"":""4.6.0"",""catboost"":""1.2.10"",""optuna"":""4.9.0"",""joblib"":""1.5.3""}",runtime.packages,s1277,eb613408e4131a1941869f96834edf00cdee45a9f0359ac5f73cb9958d796772,training_runtime_record
v2|P1|overall|rSI_sMS,overall,P1,rSI_sMS,3ac455bf04f5913d137b28d987ca9f2a68962cda46a99578457cbea462d6575a,s0184,fb577a2845289c682371f2aa456ab2827110e96d0c8158dcbf898f7352391f4f,runtime_python,3.12.13,runtime.python,s1277,eb613408e4131a1941869f96834edf00cdee45a9f0359ac5f73cb9958d796772,training_runtime_record
v2|P1|overall|logistic_regression,overall,P1,logistic_regression,ed41a3084f1051626d70bb380031d0999528267ece311fcfeaaa4cc134552474,s0181,46e0775cf3e37c596711c28614544334b2e7acff201c06ea6353c21a6c82b86c,seed,20260710,seed,s1282,b743cae467ba2548697c0b152c07c7fff96107e161f558ff194fe571bae67858,task_record
v2|P1|overall|logistic_regression,overall,P1,logistic_regression,ed41a3084f1051626d70bb380031d0999528267ece311fcfeaaa4cc134552474,s0181,46e0775cf3e37c596711c28614544334b2e7acff201c06ea6353c21a6c82b86c,runtime_packages,"{""numpy"":""2.4.4"",""pandas"":""2.3.3"",""scikit-learn"":""1.8.0"",""imbalanced-learn"":""0.14.2"",""xgboost"":""3.2.0"",""lightgbm"":""4.6.0"",""catboost"":""1.2.10"",""optuna"":""4.9.0"",""joblib"":""1.5.3""}",runtime.packages,s1283,4c4dbf43df6d31be4d14bd9c07d93645d569fefabbef3feaf82e35327a3a489b,training_runtime_record
v2|P1|overall|logistic_regression,overall,P1,logistic_regression,ed41a3084f1051626d70bb380031d0999528267ece311fcfeaaa4cc134552474,s0181,46e0775cf3e37c596711c28614544334b2e7acff201c06ea6353c21a6c82b86c,runtime_python,3.12.13,runtime.python,s1283,4c4dbf43df6d31be4d14bd9c07d93645d569fefabbef3feaf82e35327a3a489b,training_runtime_record
v2|P1|overall|catboost,overall,P1,catboost,e404e0a3a84bc6d22f27a8cd5b95c21896ecd3ddd089b113159b92583c006f5f,s0174,c7dc669e691af36b18eef0ed70183fd14709ba1f0b994fb768eb0c0199b5c35c,lineage,core_model_optimization_v2,lineage,s1288,16f453279dc1e774b797f6e873e04fc30ed829b308a44ce21040a24efa812fa7,task_record
v2|P1|overall|catboost,overall,P1,catboost,e404e0a3a84bc6d22f27a8cd5b95c21896ecd3ddd089b113159b92583c006f5f,s0174,c7dc669e691af36b18eef0ed70183fd14709ba1f0b994fb768eb0c0199b5c35c,configuration,"{""source_trial_number"":51,""params"":{""depth"":7,""learning_rate"":0.08959642079366602,""l2_leaf_reg"":49.428101518911575,""random_strength"":0.00020807709492908494,""bagging_temperature"":4.5387603276474024,""scale_pos_weight"":1.0},""revalidated_median_best_iteration"":283,""final_development_monitor_fold"":4,""final_refit_iterations"":324,""final_refit_rows"":24784,""validation_2024_fit_rows"":0,""validation_2024_monitor_rows"":0}",locked_configuration,s1288,16f453279dc1e774b797f6e873e04fc30ed829b308a44ce21040a24efa812fa7,recorded_locked_configuration
v2|P1|overall|catboost,overall,P1,catboost,e404e0a3a84bc6d22f27a8cd5b95c21896ecd3ddd089b113159b92583c006f5f,s0174,c7dc669e691af36b18eef0ed70183fd14709ba1f0b994fb768eb0c0199b5c35c,final_refit_rows,24784,locked_configuration.final_refit_rows,s1288,16f453279dc1e774b797f6e873e04fc30ed829b308a44ce21040a24efa812fa7,recorded_locked_configuration
v2|P1|overall|catboost,overall,P1,catboost,e404e0a3a84bc6d22f27a8cd5b95c21896ecd3ddd089b113159b92583c006f5f,s0174,c7dc669e691af36b18eef0ed70183fd14709ba1f0b994fb768eb0c0199b5c35c,final_refit_iterations,324,locked_configuration.final_refit_iterations,s1288,16f453279dc1e774b797f6e873e04fc30ed829b308a44ce21040a24efa812fa7,recorded_locked_configuration
v2|P1|overall|catboost,overall,P1,catboost,e404e0a3a84bc6d22f27a8cd5b95c21896ecd3ddd089b113159b92583c006f5f,s0174,c7dc669e691af36b18eef0ed70183fd14709ba1f0b994fb768eb0c0199b5c35c,runtime_packages,"{""numpy"":""2.0.2"",""pandas"":""2.3.3"",""scikit-learn"":""1.6.1"",""imbalanced-learn"":""0.14.1"",""xgboost"":""3.2.0"",""lightgbm"":""4.6.0"",""catboost"":""1.2.10"",""optuna"":""4.9.0"",""joblib"":""1.5.3""}",runtime.packages,s1289,8109a840729da8d82a7f3b81e41d520551e5dc40824caed4be90ebf617e29261,training_runtime_record
v2|P1|overall|catboost,overall,P1,catboost,e404e0a3a84bc6d22f27a8cd5b95c21896ecd3ddd089b113159b92583c006f5f,s0174,c7dc669e691af36b18eef0ed70183fd14709ba1f0b994fb768eb0c0199b5c35c,runtime_python,3.12.13,runtime.python,s1289,8109a840729da8d82a7f3b81e41d520551e5dc40824caed4be90ebf617e29261,training_runtime_record
v2|P1|overall|xgboost,overall,P1,xgboost,e6d348c174b82b0e0072b241be730ca7f375c2b5525a00858b2acd22e40f3c05,s0191,84031da36b84b5295b0969af59461a0faf08314d8adaf2c3a5f4a08eb0e88c1c,lineage,core_model_optimization_v2,lineage,s1294,b8bf64244219ca848d4951c51c541f2daf61302ffaa3d5fb2228a004ace19e74,task_record
v2|P1|overall|xgboost,overall,P1,xgboost,e6d348c174b82b0e0072b241be730ca7f375c2b5525a00858b2acd22e40f3c05,s0191,84031da36b84b5295b0969af59461a0faf08314d8adaf2c3a5f4a08eb0e88c1c,configuration,"{""source_trial_number"":244,""params"":{""max_depth"":8,""learning_rate"":0.00902116817122505,""subsample"":0.9877007824080123,""colsample_bytree"":0.9775809218538409,""min_child_weight"":11.618141941841003,""reg_alpha"":0.00013902087749557184,""reg_lambda"":29.373438406447296,""scale_pos_weight"":1.0},""revalidated_median_best_iteration"":1013,""final_development_monitor_fold"":4,""final_refit_iterations"":873,""final_refit_rows"":24784,""validation_2024_fit_rows"":0,""validation_2024_monitor_rows"":0}",locked_configuration,s1294,b8bf64244219ca848d4951c51c541f2daf61302ffaa3d5fb2228a004ace19e74,recorded_locked_configuration
v2|P1|overall|xgboost,overall,P1,xgboost,e6d348c174b82b0e0072b241be730ca7f375c2b5525a00858b2acd22e40f3c05,s0191,84031da36b84b5295b0969af59461a0faf08314d8adaf2c3a5f4a08eb0e88c1c,final_refit_rows,24784,locked_configuration.final_refit_rows,s1294,b8bf64244219ca848d4951c51c541f2daf61302ffaa3d5fb2228a004ace19e74,recorded_locked_configuration
v2|P1|overall|xgboost,overall,P1,xgboost,e6d348c174b82b0e0072b241be730ca7f375c2b5525a00858b2acd22e40f3c05,s0191,84031da36b84b5295b0969af59461a0faf08314d8adaf2c3a5f4a08eb0e88c1c,final_refit_iterations,873,locked_configuration.final_refit_iterations,s1294,b8bf64244219ca848d4951c51c541f2daf61302ffaa3d5fb2228a004ace19e74,recorded_locked_configuration
v2|P1|overall|xgboost,overall,P1,xgboost,e6d348c174b82b0e0072b241be730ca7f375c2b5525a00858b2acd22e40f3c05,s0191,84031da36b84b5295b0969af59461a0faf08314d8adaf2c3a5f4a08eb0e88c1c,runtime_packages,"{""numpy"":""2.0.2"",""pandas"":""2.3.3"",""scikit-learn"":""1.6.1"",""imbalanced-learn"":""0.14.1"",""xgboost"":""3.2.0"",""lightgbm"":""4.6.0"",""catboost"":""1.2.10"",""optuna"":""4.9.0"",""joblib"":""1.5.3""}",runtime.packages,s1295,0947001824818ede1dcd2bce2cdac6595b3b9802a64e322d9f9666af3e362ab7,training_runtime_record
v2|P1|overall|xgboost,overall,P1,xgboost,e6d348c174b82b0e0072b241be730ca7f375c2b5525a00858b2acd22e40f3c05,s0191,84031da36b84b5295b0969af59461a0faf08314d8adaf2c3a5f4a08eb0e88c1c,runtime_python,3.12.13,runtime.python,s1295,0947001824818ede1dcd2bce2cdac6595b3b9802a64e322d9f9666af3e362ab7,training_runtime_record
v2|P1|overall|lightgbm,overall,P1,lightgbm,bf271da47511deb44fbbc318ed179284dbd83cf5e55a44a7c71d6556d48e819e,s0179,9787bb2a08510d2785258cf9110c8114349ea2e36001f97bf27df44225fb07ab,lineage,core_model_optimization_v2,lineage,s1301,cc99d747d9020a1d89b48d0589551af2fff8d81209fede7edded12fb2123ebff,task_record
v2|P1|overall|lightgbm,overall,P1,lightgbm,bf271da47511deb44fbbc318ed179284dbd83cf5e55a44a7c71d6556d48e819e,s0179,9787bb2a08510d2785258cf9110c8114349ea2e36001f97bf27df44225fb07ab,configuration,"{""source_trial_number"":309,""params"":{""num_leaves"":181,""max_depth"":10,""learning_rate"":0.06584798441450593,""subsample"":0.5635098896485028,""colsample_bytree"":0.9152562231392767,""min_child_samples"":275,""reg_alpha"":4.515844667700695,""reg_lambda"":2.6308565184497454,""scale_pos_weight"":1.0},""revalidated_median_best_iteration"":64,""final_development_monitor_fold"":4,""final_refit_iterations"":64,""final_refit_rows"":24784,""validation_2024_fit_rows"":0,""validation_2024_monitor_rows"":0}",locked_configuration,s1301,cc99d747d9020a1d89b48d0589551af2fff8d81209fede7edded12fb2123ebff,recorded_locked_configuration
v2|P1|overall|lightgbm,overall,P1,lightgbm,bf271da47511deb44fbbc318ed179284dbd83cf5e55a44a7c71d6556d48e819e,s0179,9787bb2a08510d2785258cf9110c8114349ea2e36001f97bf27df44225fb07ab,final_refit_rows,24784,locked_configuration.final_refit_rows,s1301,cc99d747d9020a1d89b48d0589551af2fff8d81209fede7edded12fb2123ebff,recorded_locked_configuration
v2|P1|overall|lightgbm,overall,P1,lightgbm,bf271da47511deb44fbbc318ed179284dbd83cf5e55a44a7c71d6556d48e819e,s0179,9787bb2a08510d2785258cf9110c8114349ea2e36001f97bf27df44225fb07ab,final_refit_iterations,64,locked_configuration.final_refit_iterations,s1301,cc99d747d9020a1d89b48d0589551af2fff8d81209fede7edded12fb2123ebff,recorded_locked_configuration
