task_id,group,outcome,kind,analysis,Experiment,arm,split,probability_layer,presentation,completion_status,Features included,feature_set_id,feature_count,AUROC[CI],AUPRC[CI],N,events,AUROC,AUROC_lower_ci,AUROC_upper_ci,AUPRC,AUPRC_lower_ci,AUPRC_upper_ci,Brier,Brier_lower_ci,Brier_upper_ci,F1,net benefit,threshold_mean,threshold_min,threshold_max,sensitivity,specificity,PPV,NPV,TP,FP,TN,FN,AUROC_status,AUPRC_status,Brier_status,cohort_identity_sha256,Interpretation,source_result_root,source_result_receipt_sha256,source_validation_path,source_validation_sha256
surgery__P1__missingness_median_indicator,surgery,P1,missingness,median_indicator,median_indicator / median_indicator,median_indicator,oof_2020_2023,RAW_LOCKED_BASE_PREDICTIONS,raw,VALIDATED_COMPUTED,Locked inputs; missingness strategy=median_indicator,d5d5e2d8a0734a0ce9af97a6606994868307c154f09eee30ee788ada6108d568,764,"0.962419 [0.914026, 0.998572]","0.177373 [0.0734659, 0.453883]",8731,9,0.9624194246987184,0.9140259772858041,0.9985723936624475,0.177372565678338,0.07346586735518162,0.45388287050289755,0.0009842727647613695,0.0008935705777403643,0.0010801146805467898,0.0,-0.00011453441759248655,0.5,0.5,0.5,0.0,0.9998853473973859,0.0,0.9989690721649485,0,1,8721,9,ESTIMATED,ESTIMATED,ESTIMATED,1932ab87fa0d7e44ab97647eaaf7048d214482266e54e2c6f8f2735bc7bcc360,"Descriptive arm estimate. CI is an individual-arm CI, not a paired-difference CI; no significance claim for a delta. Raw layer; operating point is the recorded P104 comparator rule, not a final clinical threshold.",D:\Codex_分拆Prompt嚴格無到院\outputs\v2\.p104rv\sweep_20260906T151250Z_account-06_v2\t14\r,7112a50ac2b85a82e43823dd27ee645168bbe5c1bd47cc02c420c8eea70f11f0,D:\Codex_分拆Prompt嚴格無到院\outputs\v2\.p104k10\cloud_validation_index_20260906T211456Z\task_surgery__P1__missingness_median_indicator_validation.json,ffc88e46eefc9910f9191dc3e9346bf1a7dbbf35e428be5b3078b67fba299931
surgery__P1__missingness_median_indicator,surgery,P1,missingness,median_indicator,median_indicator / median_indicator,median_indicator,validation_2024,RAW_LOCKED_BASE_PREDICTIONS,raw,VALIDATED_COMPUTED,Locked inputs; missingness strategy=median_indicator,d5d5e2d8a0734a0ce9af97a6606994868307c154f09eee30ee788ada6108d568,764,"0.96658 [0.906992, 0.99737]","0.261247 [0.135924, 0.584968]",2712,9,0.9665803428289556,0.9069924618635362,0.9973701755217467,0.26124708624708626,0.13592374109099714,0.5849679067515535,0.0029067913075611408,0.0024490264916502556,0.003319920875062647,0.0,0.0,0.5,0.5,0.5,0.0,1.0,,0.9966814159292036,0,0,2703,9,ESTIMATED,ESTIMATED,ESTIMATED,275a2492f4ab239e2924d96e5ac4b4b8de9740d648fcdb97738717fab3e688ae,"Descriptive arm estimate. CI is an individual-arm CI, not a paired-difference CI; no significance claim for a delta. Raw layer; operating point is the recorded P104 comparator rule, not a final clinical threshold.",D:\Codex_分拆Prompt嚴格無到院\outputs\v2\.p104rv\sweep_20260906T151250Z_account-06_v2\t14\r,7112a50ac2b85a82e43823dd27ee645168bbe5c1bd47cc02c420c8eea70f11f0,D:\Codex_分拆Prompt嚴格無到院\outputs\v2\.p104k10\cloud_validation_index_20260906T211456Z\task_surgery__P1__missingness_median_indicator_validation.json,ffc88e46eefc9910f9191dc3e9346bf1a7dbbf35e428be5b3078b67fba299931
surgery__P1__missingness_mean_indicator,surgery,P1,missingness,mean_indicator,mean_indicator / mean_indicator,mean_indicator,oof_2020_2023,RAW_LOCKED_BASE_PREDICTIONS,raw,VALIDATED_COMPUTED,Locked inputs; missingness strategy=mean_indicator,d5d5e2d8a0734a0ce9af97a6606994868307c154f09eee30ee788ada6108d568,764,"0.964369 [0.915791, 0.998348]","0.184321 [0.070195, 0.495267]",8731,9,0.9643685189431578,0.91579085372375,0.9983479646087596,0.18432103074881978,0.07019496249156655,0.49526662428269114,0.0010039416744065499,0.0009005829452843776,0.0011152124784428023,0.0,-0.00011453441759248655,0.5,0.5,0.5,0.0,0.9998853473973859,0.0,0.9989690721649485,0,1,8721,9,ESTIMATED,ESTIMATED,ESTIMATED,1932ab87fa0d7e44ab97647eaaf7048d214482266e54e2c6f8f2735bc7bcc360,"Descriptive arm estimate. CI is an individual-arm CI, not a paired-difference CI; no significance claim for a delta. Raw layer; operating point is the recorded P104 comparator rule, not a final clinical threshold.",D:\Codex_分拆Prompt嚴格無到院\outputs\v2\.p104rv\sweep_20260906T151250Z_account-05_v2\t14\r,b43b1abaa21d4147b4f079cefbe83a6c3aaa04ce91d03f5d3fce2a95e5282ee1,D:\Codex_分拆Prompt嚴格無到院\outputs\v2\.p104k10\cloud_validation_index_20260906T211456Z\task_surgery__P1__missingness_mean_indicator_validation.json,3266a743fb9e690d08c1f7a65fb48bc67d9d3a66b511f174b09d8bf0efa2c221
surgery__P1__missingness_mean_indicator,surgery,P1,missingness,mean_indicator,mean_indicator / mean_indicator,mean_indicator,validation_2024,RAW_LOCKED_BASE_PREDICTIONS,raw,VALIDATED_COMPUTED,Locked inputs; missingness strategy=mean_indicator,d5d5e2d8a0734a0ce9af97a6606994868307c154f09eee30ee788ada6108d568,764,"0.969992 [0.914406, 0.998477]","0.325215 [0.173072, 0.673695]",2712,9,0.9699921897480166,0.9144061517117821,0.998477380348385,0.325214646372331,0.17307224407659014,0.6736947928614594,0.0027907073403239174,0.0023310094199328357,0.0032545733474275726,0.0,0.0,0.5,0.5,0.5,0.0,1.0,,0.9966814159292036,0,0,2703,9,ESTIMATED,ESTIMATED,ESTIMATED,275a2492f4ab239e2924d96e5ac4b4b8de9740d648fcdb97738717fab3e688ae,"Descriptive arm estimate. CI is an individual-arm CI, not a paired-difference CI; no significance claim for a delta. Raw layer; operating point is the recorded P104 comparator rule, not a final clinical threshold.",D:\Codex_分拆Prompt嚴格無到院\outputs\v2\.p104rv\sweep_20260906T151250Z_account-05_v2\t14\r,b43b1abaa21d4147b4f079cefbe83a6c3aaa04ce91d03f5d3fce2a95e5282ee1,D:\Codex_分拆Prompt嚴格無到院\outputs\v2\.p104k10\cloud_validation_index_20260906T211456Z\task_surgery__P1__missingness_mean_indicator_validation.json,3266a743fb9e690d08c1f7a65fb48bc67d9d3a66b511f174b09d8bf0efa2c221
surgery__P1__missingness_tree_native,surgery,P1,missingness,tree_native,tree_native / tree_native,tree_native,oof_2020_2023,RAW_LOCKED_BASE_PREDICTIONS,raw,VALIDATED_COMPUTED,Locked inputs; missingness strategy=tree_native,d5d5e2d8a0734a0ce9af97a6606994868307c154f09eee30ee788ada6108d568,764,"0.941565 [0.839706, 0.996483]","0.117489 [0.0422728, 0.353189]",8731,9,0.9415653902010243,0.8397061846597842,0.9964826704972035,0.11748897540890155,0.042272781684681265,0.3531890944587667,0.0009900792819609473,0.0008555519116904515,0.0010978870593255827,0.0,0.0,0.5,0.5,0.5,0.0,1.0,,0.9989691902416676,0,0,8722,9,ESTIMATED,ESTIMATED,ESTIMATED,1932ab87fa0d7e44ab97647eaaf7048d214482266e54e2c6f8f2735bc7bcc360,"Descriptive arm estimate. CI is an individual-arm CI, not a paired-difference CI; no significance claim for a delta. Raw layer; operating point is the recorded P104 comparator rule, not a final clinical threshold.",D:\Codex_分拆Prompt嚴格無到院\outputs\v2\.p104rv\sweep_20260906T151250Z_account-10_v2\t14\r,d07dc4904ce544d18870a075f4e2b623488390fe660a180779aded9507137aea,D:\Codex_分拆Prompt嚴格無到院\outputs\v2\.p104k10\cloud_validation_index_20260906T211456Z\task_surgery__P1__missingness_tree_native_validation.json,068b4259c7da6ce51e45065553b9b4d402c8cba79dc5196e95c4dbb7c336a791
surgery__P1__missingness_tree_native,surgery,P1,missingness,tree_native,tree_native / tree_native,tree_native,validation_2024,RAW_LOCKED_BASE_PREDICTIONS,raw,VALIDATED_COMPUTED,Locked inputs; missingness strategy=tree_native,d5d5e2d8a0734a0ce9af97a6606994868307c154f09eee30ee788ada6108d568,764,"0.973856 [0.923425, 0.999097]","0.434532 [0.234239, 0.805373]",2712,9,0.9738562091503268,0.9234249769229226,0.9990967242023193,0.43453225971251486,0.23423870993434018,0.8053728704596591,0.002481190237271786,0.0019628943748657823,0.003018452516405725,0.0,-0.0003687315634218289,0.5,0.5,0.5,0.0,0.9996300406955235,0.0,0.9966801918111398,0,1,2702,9,ESTIMATED,ESTIMATED,ESTIMATED,275a2492f4ab239e2924d96e5ac4b4b8de9740d648fcdb97738717fab3e688ae,"Descriptive arm estimate. CI is an individual-arm CI, not a paired-difference CI; no significance claim for a delta. Raw layer; operating point is the recorded P104 comparator rule, not a final clinical threshold.",D:\Codex_分拆Prompt嚴格無到院\outputs\v2\.p104rv\sweep_20260906T151250Z_account-10_v2\t14\r,d07dc4904ce544d18870a075f4e2b623488390fe660a180779aded9507137aea,D:\Codex_分拆Prompt嚴格無到院\outputs\v2\.p104k10\cloud_validation_index_20260906T211456Z\task_surgery__P1__missingness_tree_native_validation.json,068b4259c7da6ce51e45065553b9b4d402c8cba79dc5196e95c4dbb7c336a791
surgery__P1__missingness_median_no_indicator,surgery,P1,missingness,median_no_indicator,median_no_indicator / median_no_indicator,median_no_indicator,oof_2020_2023,RAW_LOCKED_BASE_PREDICTIONS,raw,VALIDATED_COMPUTED,Remove specified baseline missingness indicators; retain undefined-score safeguards,0be3019014561edcf1c1cb3d305a4c74d405f0e1a6a4b35b5b24545e22ab35a6,512,"0.964649 [0.918403, 0.998474]","0.203338 [0.0787762, 0.509522]",8731,9,0.9646487808606589,0.9184026835604541,0.9984739318934469,0.20333768652784528,0.07877616328715546,0.5095223485989394,0.0009843402535600779,0.000877869890188099,0.001099464773418819,0.0,-0.00011453441759248655,0.5,0.5,0.5,0.0,0.9998853473973859,0.0,0.9989690721649485,0,1,8721,9,ESTIMATED,ESTIMATED,ESTIMATED,1932ab87fa0d7e44ab97647eaaf7048d214482266e54e2c6f8f2735bc7bcc360,"Descriptive arm estimate. CI is an individual-arm CI, not a paired-difference CI; no significance claim for a delta. Raw layer; operating point is the recorded P104 comparator rule, not a final clinical threshold. Specified MISS/indicator inputs removed; UNDEFINED_SCORE safeguards remain, so missingness information is not completely absent.",D:\Codex_分拆Prompt嚴格無到院\outputs\v2\.p104rv\sweep_20260906T171453Z_account-07_v2\t14\r,dea3c0106e1831df6f0fbfe8a06851ef77191b6772a691c0f3896eb65ce56b5e,D:\Codex_分拆Prompt嚴格無到院\outputs\v2\.p104k10\cloud_validation_index_20260906T211456Z\task_surgery__P1__missingness_median_no_indicator_validation.json,ed15862926a10ea5b26ff068a83734ccbe5b95dfaaa98460632f8c6f1763e673
surgery__P1__missingness_median_no_indicator,surgery,P1,missingness,median_no_indicator,median_no_indicator / median_no_indicator,median_no_indicator,validation_2024,RAW_LOCKED_BASE_PREDICTIONS,raw,VALIDATED_COMPUTED,Remove specified baseline missingness indicators; retain undefined-score safeguards,0be3019014561edcf1c1cb3d305a4c74d405f0e1a6a4b35b5b24545e22ab35a6,512,"0.972006 [0.920906, 0.998035]","0.398107 [0.1827, 0.695915]",2712,9,0.9720064126279443,0.9209061551846459,0.9980349170413669,0.3981072375899962,0.18270043779060066,0.6959145956913291,0.0027982600090830693,0.00224531291777271,0.003285049635238374,0.0,0.0,0.5,0.5,0.5,0.0,1.0,,0.9966814159292036,0,0,2703,9,ESTIMATED,ESTIMATED,ESTIMATED,275a2492f4ab239e2924d96e5ac4b4b8de9740d648fcdb97738717fab3e688ae,"Descriptive arm estimate. CI is an individual-arm CI, not a paired-difference CI; no significance claim for a delta. Raw layer; operating point is the recorded P104 comparator rule, not a final clinical threshold. Specified MISS/indicator inputs removed; UNDEFINED_SCORE safeguards remain, so missingness information is not completely absent.",D:\Codex_分拆Prompt嚴格無到院\outputs\v2\.p104rv\sweep_20260906T171453Z_account-07_v2\t14\r,dea3c0106e1831df6f0fbfe8a06851ef77191b6772a691c0f3896eb65ce56b5e,D:\Codex_分拆Prompt嚴格無到院\outputs\v2\.p104k10\cloud_validation_index_20260906T211456Z\task_surgery__P1__missingness_median_no_indicator_validation.json,ed15862926a10ea5b26ff068a83734ccbe5b95dfaaa98460632f8c6f1763e673
surgery__P1__missingness_full_complete_case,surgery,P1,missingness,full_complete_case,full_complete_case,,,RAW_LOCKED_BASE_PREDICTIONS,raw,VALIDATED_NOT_ESTIMABLE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Validated not-estimable disposition; no performance value invented. empty evaluation or single-class training cohort,D:\Codex_分拆Prompt嚴格無到院\outputs\v2\.p104rv\sweep_20260906T171453Z_account-03_v2\t14\r,0e145048df7004d68dac8cc0eb7620ab04b65a3dfcb2cef0be7ac8e70086c34c,D:\Codex_分拆Prompt嚴格無到院\outputs\v2\.p104k10\cloud_validation_index_20260906T211456Z\task_surgery__P1__missingness_full_complete_case_validation.json,043c82169d3e61750efc2b8deefbd01be4af4347dae6a2121626aff69351dde7
surgery__P1__missingness_core_vitals_complete_case,surgery,P1,missingness,core_vitals_complete_case,core_vitals_complete_case / core_vitals_complete_case,core_vitals_complete_case,oof_2020_2023,RAW_LOCKED_BASE_PREDICTIONS,raw,VALIDATED_COMPUTED,Locked inputs; missingness strategy=core_vitals_complete_case,d5d5e2d8a0734a0ce9af97a6606994868307c154f09eee30ee788ada6108d568,764,"0.965887 [0.910687, 0.998078]","0.290044 [0.0356749, 0.64636]",8261,7,0.9658866696666553,0.9106868287692491,0.9980778284862938,0.2900441616730197,0.03567488532769938,0.6463601601780805,0.0007415512958850426,0.0005597174693523974,0.0008782907169765214,0.25,0.0001210507202517855,0.5,0.5,0.5,0.14285714285714285,1.0,1.0,0.999273607748184,1,0,8254,6,ESTIMATED,ESTIMATED,ESTIMATED,c504107781cc7f8a684bb7660cffd673d5ef5da91003622e05ba5e22902a01bc,"Descriptive arm estimate. CI is an individual-arm CI, not a paired-difference CI; no significance claim for a delta. Raw layer; operating point is the recorded P104 comparator rule, not a final clinical threshold.",D:\Codex_分拆Prompt嚴格無到院\outputs\v2\.p104rv\sweep_20260906T191424Z_account-02_v2\t14\r,dcb838c75add6b80f5a21fcc5ef95f52a94122e90ab04da5a2f072f0bc0a49b2,D:\Codex_分拆Prompt嚴格無到院\outputs\v2\.p104k10\cloud_validation_index_20260906T211456Z\task_surgery__P1__missingness_core_vitals_complete_case_validation.json,0f4dee35de92f473ef1d89b66a0e7580b2e998888de405c35b7b1a9af79652c7
