task_id,group,outcome,kind,analysis,Experiment,arm,split,probability_layer,presentation,completion_status,Features included,feature_set_id,feature_count,AUROC[CI],AUPRC[CI],N,events,AUROC,AUROC_lower_ci,AUROC_upper_ci,AUPRC,AUPRC_lower_ci,AUPRC_upper_ci,Brier,Brier_lower_ci,Brier_upper_ci,F1,net benefit,threshold_mean,threshold_min,threshold_max,sensitivity,specificity,PPV,NPV,TP,FP,TN,FN,AUROC_status,AUPRC_status,Brier_status,cohort_identity_sha256,Interpretation,source_result_root,source_result_receipt_sha256,source_validation_path,source_validation_sha256
surgery__P1__dnr_dnr_blind,surgery,P1,dnr,dnr_blind,dnr_blind / all_comer_reference,all_comer_reference,oof_2020_2023,RAW_LOCKED_BASE_PREDICTIONS,raw,VALIDATED_COMPUTED,Full locked input feature order,d5d5e2d8a0734a0ce9af97a6606994868307c154f09eee30ee788ada6108d568,764,"0.962419 [0.912192, 0.998501]","0.177373 [0.0744163, 0.445351]",8731,9,0.9624194246987184,0.9121923486789393,0.9985009276925945,0.177372565678338,0.07441627383409102,0.445350685281343,0.0009840552865293232,0.0008939028524773858,0.0010801133959990837,0.0,-0.00011453441759248655,0.5,0.5,0.5,0.0,0.9998853473973859,0.0,0.9989690721649485,0,1,8721,9,ESTIMATED,ESTIMATED,ESTIMATED,1932ab87fa0d7e44ab97647eaaf7048d214482266e54e2c6f8f2735bc7bcc360,"Descriptive arm estimate. CI is an individual-arm CI, not a paired-difference CI; no significance claim for a delta. Raw layer; operating point is the recorded P104 comparator rule, not a final clinical threshold.",D:\Codex_分拆Prompt嚴格無到院\outputs\v2\.p104rv\sweep_20260906T171453Z_account-09_v2\t13\r,99a922990c544a8004abb04590fb108301644719e8f3e8e731c695f248ac74cc,D:\Codex_分拆Prompt嚴格無到院\outputs\v2\.p104k10\cloud_validation_index_20260906T211456Z\task_surgery__P1__dnr_dnr_blind_validation.json,7d1fdc914dcf36d4fd9c9e0e05ae1db37686bd7468426c9d228ea62c58d3f220
surgery__P1__dnr_dnr_blind,surgery,P1,dnr,dnr_blind,dnr_blind / all_comer_reference,all_comer_reference,validation_2024,RAW_LOCKED_BASE_PREDICTIONS,raw,VALIDATED_COMPUTED,Full locked input feature order,d5d5e2d8a0734a0ce9af97a6606994868307c154f09eee30ee788ada6108d568,764,"0.96658 [0.907959, 0.997294]","0.261247 [0.141496, 0.567362]",2712,9,0.9665803428289556,0.9079588912998765,0.997294320630431,0.26124708624708626,0.14149641045470743,0.5673623916651298,0.0029070521270473954,0.002473163203482597,0.0033278380885709046,0.0,0.0,0.5,0.5,0.5,0.0,1.0,,0.9966814159292036,0,0,2703,9,ESTIMATED,ESTIMATED,ESTIMATED,275a2492f4ab239e2924d96e5ac4b4b8de9740d648fcdb97738717fab3e688ae,"Descriptive arm estimate. CI is an individual-arm CI, not a paired-difference CI; no significance claim for a delta. Raw layer; operating point is the recorded P104 comparator rule, not a final clinical threshold.",D:\Codex_分拆Prompt嚴格無到院\outputs\v2\.p104rv\sweep_20260906T171453Z_account-09_v2\t13\r,99a922990c544a8004abb04590fb108301644719e8f3e8e731c695f248ac74cc,D:\Codex_分拆Prompt嚴格無到院\outputs\v2\.p104k10\cloud_validation_index_20260906T211456Z\task_surgery__P1__dnr_dnr_blind_validation.json,7d1fdc914dcf36d4fd9c9e0e05ae1db37686bd7468426c9d228ea62c58d3f220
surgery__P1__dnr_dnr_blind,surgery,P1,dnr,dnr_blind,dnr_blind / dnr_blind,dnr_blind,oof_2020_2023,RAW_LOCKED_BASE_PREDICTIONS,raw,VALIDATED_COMPUTED,Source-defined DNR-blind predictor exclusions; cohort rule shown by analysis,256f07d8ea37e6334079986b99af35bea86c951b1f4087c6f87db74e142bf8c0,756,"0.962419 [0.91214, 0.998525]","0.177373 [0.0728358, 0.466678]",8731,9,0.9624194246987184,0.9121396431036043,0.9985249718684629,0.177372565678338,0.07283579413185491,0.46667816552393226,0.0009843475996705031,0.0008868566136656611,0.001079728870201855,0.0,-0.00011453441759248655,0.5,0.5,0.5,0.0,0.9998853473973859,0.0,0.9989690721649485,0,1,8721,9,ESTIMATED,ESTIMATED,ESTIMATED,1932ab87fa0d7e44ab97647eaaf7048d214482266e54e2c6f8f2735bc7bcc360,"Descriptive arm estimate. CI is an individual-arm CI, not a paired-difference CI; no significance claim for a delta. Raw layer; operating point is the recorded P104 comparator rule, not a final clinical threshold.",D:\Codex_分拆Prompt嚴格無到院\outputs\v2\.p104rv\sweep_20260906T171453Z_account-09_v2\t13\r,99a922990c544a8004abb04590fb108301644719e8f3e8e731c695f248ac74cc,D:\Codex_分拆Prompt嚴格無到院\outputs\v2\.p104k10\cloud_validation_index_20260906T211456Z\task_surgery__P1__dnr_dnr_blind_validation.json,7d1fdc914dcf36d4fd9c9e0e05ae1db37686bd7468426c9d228ea62c58d3f220
surgery__P1__dnr_dnr_blind,surgery,P1,dnr,dnr_blind,dnr_blind / dnr_blind,dnr_blind,validation_2024,RAW_LOCKED_BASE_PREDICTIONS,raw,VALIDATED_COMPUTED,Source-defined DNR-blind predictor exclusions; cohort rule shown by analysis,256f07d8ea37e6334079986b99af35bea86c951b1f4087c6f87db74e142bf8c0,756,"0.96658 [0.906378, 0.997249]","0.261247 [0.13382, 0.567376]",2712,9,0.9665803428289556,0.9063783813188575,0.997248796239246,0.26124708624708626,0.13381983424727678,0.5673760738323794,0.0029080238051871913,0.0024407774985831707,0.0033173432555435255,0.0,0.0,0.5,0.5,0.5,0.0,1.0,,0.9966814159292036,0,0,2703,9,ESTIMATED,ESTIMATED,ESTIMATED,275a2492f4ab239e2924d96e5ac4b4b8de9740d648fcdb97738717fab3e688ae,"Descriptive arm estimate. CI is an individual-arm CI, not a paired-difference CI; no significance claim for a delta. Raw layer; operating point is the recorded P104 comparator rule, not a final clinical threshold.",D:\Codex_分拆Prompt嚴格無到院\outputs\v2\.p104rv\sweep_20260906T171453Z_account-09_v2\t13\r,99a922990c544a8004abb04590fb108301644719e8f3e8e731c695f248ac74cc,D:\Codex_分拆Prompt嚴格無到院\outputs\v2\.p104k10\cloud_validation_index_20260906T211456Z\task_surgery__P1__dnr_dnr_blind_validation.json,7d1fdc914dcf36d4fd9c9e0e05ae1db37686bd7468426c9d228ea62c58d3f220
surgery__P1__dnr_temporally_clean_exclusion,surgery,P1,dnr,temporally_clean_exclusion,temporally_clean_exclusion / all_comer_reference,all_comer_reference,oof_2020_2023,RAW_LOCKED_BASE_PREDICTIONS,raw,VALIDATED_COMPUTED,Full locked input feature order,d5d5e2d8a0734a0ce9af97a6606994868307c154f09eee30ee788ada6108d568,764,"0.962419 [0.912192, 0.998501]","0.177373 [0.0744163, 0.445351]",8731,9,0.9624194246987184,0.9121923486789393,0.9985009276925945,0.177372565678338,0.07441627383409102,0.445350685281343,0.0009840552865293232,0.0008939028524773858,0.0010801133959990837,0.0,-0.00011453441759248655,0.5,0.5,0.5,0.0,0.9998853473973859,0.0,0.9989690721649485,0,1,8721,9,ESTIMATED,ESTIMATED,ESTIMATED,1932ab87fa0d7e44ab97647eaaf7048d214482266e54e2c6f8f2735bc7bcc360,"Descriptive arm estimate. CI is an individual-arm CI, not a paired-difference CI; no significance claim for a delta. Raw layer; operating point is the recorded P104 comparator rule, not a final clinical threshold.",D:\Codex_分拆Prompt嚴格無到院\outputs\v2\.p104rv\sweep_20260906T151250Z_account-10_v2\t13\r,1d938eac0106de324bf41a2adcacdd18eddee2da059910953ead5a1c4f516dd9,D:\Codex_分拆Prompt嚴格無到院\outputs\v2\.p104k10\cloud_validation_index_20260906T211456Z\task_surgery__P1__dnr_temporally_clean_exclusion_validation.json,8772284c04665dbada3e8d1fa8831260f3f70abf68da27998e12a8d2535be4be
surgery__P1__dnr_temporally_clean_exclusion,surgery,P1,dnr,temporally_clean_exclusion,temporally_clean_exclusion / all_comer_reference,all_comer_reference,validation_2024,RAW_LOCKED_BASE_PREDICTIONS,raw,VALIDATED_COMPUTED,Full locked input feature order,d5d5e2d8a0734a0ce9af97a6606994868307c154f09eee30ee788ada6108d568,764,"0.96658 [0.907959, 0.997294]","0.261247 [0.141496, 0.567362]",2712,9,0.9665803428289556,0.9079588912998765,0.997294320630431,0.26124708624708626,0.14149641045470743,0.5673623916651298,0.0029070521270473954,0.002473163203482597,0.0033278380885709046,0.0,0.0,0.5,0.5,0.5,0.0,1.0,,0.9966814159292036,0,0,2703,9,ESTIMATED,ESTIMATED,ESTIMATED,275a2492f4ab239e2924d96e5ac4b4b8de9740d648fcdb97738717fab3e688ae,"Descriptive arm estimate. CI is an individual-arm CI, not a paired-difference CI; no significance claim for a delta. Raw layer; operating point is the recorded P104 comparator rule, not a final clinical threshold.",D:\Codex_分拆Prompt嚴格無到院\outputs\v2\.p104rv\sweep_20260906T151250Z_account-10_v2\t13\r,1d938eac0106de324bf41a2adcacdd18eddee2da059910953ead5a1c4f516dd9,D:\Codex_分拆Prompt嚴格無到院\outputs\v2\.p104k10\cloud_validation_index_20260906T211456Z\task_surgery__P1__dnr_temporally_clean_exclusion_validation.json,8772284c04665dbada3e8d1fa8831260f3f70abf68da27998e12a8d2535be4be
surgery__P1__dnr_temporally_clean_exclusion,surgery,P1,dnr,temporally_clean_exclusion,temporally_clean_exclusion / temporally_clean_exclusion,temporally_clean_exclusion,oof_2020_2023,RAW_LOCKED_BASE_PREDICTIONS,raw,VALIDATED_COMPUTED,Source-defined DNR-blind predictor exclusions; cohort rule shown by analysis,256f07d8ea37e6334079986b99af35bea86c951b1f4087c6f87db74e142bf8c0,756,"0.962419 [0.914543, 0.998575]","0.177373 [0.0718328, 0.471914]",8731,9,0.9624194246987184,0.9145425866518526,0.9985747479829984,0.177372565678338,0.07183283236381086,0.4719138847367543,0.0009847916312387905,0.0008822358025132086,0.001086958233944201,0.0,-0.00011453441759248655,0.5,0.5,0.5,0.0,0.9998853473973859,0.0,0.9989690721649485,0,1,8721,9,ESTIMATED,ESTIMATED,ESTIMATED,1932ab87fa0d7e44ab97647eaaf7048d214482266e54e2c6f8f2735bc7bcc360,"Descriptive arm estimate. CI is an individual-arm CI, not a paired-difference CI; no significance claim for a delta. Raw layer; operating point is the recorded P104 comparator rule, not a final clinical threshold.",D:\Codex_分拆Prompt嚴格無到院\outputs\v2\.p104rv\sweep_20260906T151250Z_account-10_v2\t13\r,1d938eac0106de324bf41a2adcacdd18eddee2da059910953ead5a1c4f516dd9,D:\Codex_分拆Prompt嚴格無到院\outputs\v2\.p104k10\cloud_validation_index_20260906T211456Z\task_surgery__P1__dnr_temporally_clean_exclusion_validation.json,8772284c04665dbada3e8d1fa8831260f3f70abf68da27998e12a8d2535be4be
surgery__P1__dnr_temporally_clean_exclusion,surgery,P1,dnr,temporally_clean_exclusion,temporally_clean_exclusion / temporally_clean_exclusion,temporally_clean_exclusion,validation_2024,RAW_LOCKED_BASE_PREDICTIONS,raw,VALIDATED_COMPUTED,Source-defined DNR-blind predictor exclusions; cohort rule shown by analysis,256f07d8ea37e6334079986b99af35bea86c951b1f4087c6f87db74e142bf8c0,756,"0.96658 [0.907535, 0.997291]","0.261247 [0.144648, 0.585861]",2712,9,0.9665803428289556,0.9075350797392107,0.9972909740179781,0.26124708624708626,0.1446480923878574,0.5858613294600136,0.0029066485859858236,0.0024583144697577007,0.003331488830504722,0.0,0.0,0.5,0.5,0.5,0.0,1.0,,0.9966814159292036,0,0,2703,9,ESTIMATED,ESTIMATED,ESTIMATED,275a2492f4ab239e2924d96e5ac4b4b8de9740d648fcdb97738717fab3e688ae,"Descriptive arm estimate. CI is an individual-arm CI, not a paired-difference CI; no significance claim for a delta. Raw layer; operating point is the recorded P104 comparator rule, not a final clinical threshold.",D:\Codex_分拆Prompt嚴格無到院\outputs\v2\.p104rv\sweep_20260906T151250Z_account-10_v2\t13\r,1d938eac0106de324bf41a2adcacdd18eddee2da059910953ead5a1c4f516dd9,D:\Codex_分拆Prompt嚴格無到院\outputs\v2\.p104k10\cloud_validation_index_20260906T211456Z\task_surgery__P1__dnr_temporally_clean_exclusion_validation.json,8772284c04665dbada3e8d1fa8831260f3f70abf68da27998e12a8d2535be4be
surgery__P1__dnr_broad_exclusion,surgery,P1,dnr,broad_exclusion,broad_exclusion / all_comer_reference,all_comer_reference,oof_2020_2023,RAW_LOCKED_BASE_PREDICTIONS,raw,VALIDATED_COMPUTED,Full locked input feature order,d5d5e2d8a0734a0ce9af97a6606994868307c154f09eee30ee788ada6108d568,764,"0.962419 [0.912192, 0.998501]","0.177373 [0.0744163, 0.445351]",8731,9,0.9624194246987184,0.9121923486789393,0.9985009276925945,0.177372565678338,0.07441627383409102,0.445350685281343,0.0009840552865293232,0.0008939028524773858,0.0010801133959990837,0.0,-0.00011453441759248655,0.5,0.5,0.5,0.0,0.9998853473973859,0.0,0.9989690721649485,0,1,8721,9,ESTIMATED,ESTIMATED,ESTIMATED,1932ab87fa0d7e44ab97647eaaf7048d214482266e54e2c6f8f2735bc7bcc360,"Descriptive arm estimate. CI is an individual-arm CI, not a paired-difference CI; no significance claim for a delta. Raw layer; operating point is the recorded P104 comparator rule, not a final clinical threshold. Broad DNR may include post-index records; sensitivity only.",D:\Codex_分拆Prompt嚴格無到院\outputs\v2\.p104rv\sweep_20260906T171453Z_account-08_v2\t13\r,cf2671621fc88bddc1deb6a4eb50ac883b2292fce764f9f425e045c032e87067,D:\Codex_分拆Prompt嚴格無到院\outputs\v2\.p104k10\cloud_validation_index_20260906T211456Z\task_surgery__P1__dnr_broad_exclusion_validation.json,cd0caa765e3c1e6ca9276456865c978ea2e5d781fa48c93fe319a5b1e3905f91
surgery__P1__dnr_broad_exclusion,surgery,P1,dnr,broad_exclusion,broad_exclusion / all_comer_reference,all_comer_reference,validation_2024,RAW_LOCKED_BASE_PREDICTIONS,raw,VALIDATED_COMPUTED,Full locked input feature order,d5d5e2d8a0734a0ce9af97a6606994868307c154f09eee30ee788ada6108d568,764,"0.96658 [0.907959, 0.997294]","0.261247 [0.141496, 0.567362]",2712,9,0.9665803428289556,0.9079588912998765,0.997294320630431,0.26124708624708626,0.14149641045470743,0.5673623916651298,0.0029070521270473954,0.002473163203482597,0.0033278380885709046,0.0,0.0,0.5,0.5,0.5,0.0,1.0,,0.9966814159292036,0,0,2703,9,ESTIMATED,ESTIMATED,ESTIMATED,275a2492f4ab239e2924d96e5ac4b4b8de9740d648fcdb97738717fab3e688ae,"Descriptive arm estimate. CI is an individual-arm CI, not a paired-difference CI; no significance claim for a delta. Raw layer; operating point is the recorded P104 comparator rule, not a final clinical threshold. Broad DNR may include post-index records; sensitivity only.",D:\Codex_分拆Prompt嚴格無到院\outputs\v2\.p104rv\sweep_20260906T171453Z_account-08_v2\t13\r,cf2671621fc88bddc1deb6a4eb50ac883b2292fce764f9f425e045c032e87067,D:\Codex_分拆Prompt嚴格無到院\outputs\v2\.p104k10\cloud_validation_index_20260906T211456Z\task_surgery__P1__dnr_broad_exclusion_validation.json,cd0caa765e3c1e6ca9276456865c978ea2e5d781fa48c93fe319a5b1e3905f91
