task_id,group,outcome,kind,analysis,Experiment,arm,split,probability_layer,presentation,completion_status,Features included,feature_set_id,feature_count,AUROC[CI],AUPRC[CI],N,events,AUROC,AUROC_lower_ci,AUROC_upper_ci,AUPRC,AUPRC_lower_ci,AUPRC_upper_ci,Brier,Brier_lower_ci,Brier_upper_ci,F1,net benefit,threshold_mean,threshold_min,threshold_max,sensitivity,specificity,PPV,NPV,TP,FP,TN,FN,AUROC_status,AUPRC_status,Brier_status,cohort_identity_sha256,Interpretation,source_result_root,source_result_receipt_sha256,source_validation_path,source_validation_sha256
medicine__P1__missingness_median_indicator,medicine,P1,missingness,median_indicator,median_indicator / median_indicator,median_indicator,oof_2020_2023,RAW_LOCKED_BASE_PREDICTIONS,raw,VALIDATED_COMPUTED,Locked inputs; missingness strategy=median_indicator,d5d5e2d8a0734a0ce9af97a6606994868307c154f09eee30ee788ada6108d568,764,"0.895012 [0.867097, 0.920767]","0.190928 [0.130883, 0.264618]",15995,129,0.8950117114555332,0.8670966398300415,0.9207665909840036,0.19092761819954715,0.13088334914338257,0.26461768645951106,0.007198199822661151,0.006799897851280041,0.007607745478073323,0.12244897959183673,0.0,0.5,0.5,0.5,0.06976744186046512,0.9994327492751797,0.5,0.9924892032296426,9,9,15857,120,ESTIMATED,ESTIMATED,ESTIMATED,aafed358290fb1154988f8565e7fefcd0d493e5645a9235d8bffd54e199f8913,"Descriptive arm estimate. CI is an individual-arm CI, not a paired-difference CI; no significance claim for a delta. Raw layer; operating point is the recorded P104 comparator rule, not a final clinical threshold.",D:\Codex_分拆Prompt嚴格無到院\outputs\v2\.p104rv\sweep_20260906T171453Z_account-09_v2\t0\r,8af47f1e3d7deb55686fb4f8ac1eb74e0c6139ecb4a69f8d89f355d4e6bc0699,D:\Codex_分拆Prompt嚴格無到院\outputs\v2\.p104k10\cloud_validation_index_20260906T211456Z\task_medicine__P1__missingness_median_indicator_validation.json,970e052eea84ced527068f94d0e0c3894497a9c5960f170cad01a135d4eb23f8
medicine__P1__missingness_median_indicator,medicine,P1,missingness,median_indicator,median_indicator / median_indicator,median_indicator,validation_2024,RAW_LOCKED_BASE_PREDICTIONS,raw,VALIDATED_COMPUTED,Locked inputs; missingness strategy=median_indicator,d5d5e2d8a0734a0ce9af97a6606994868307c154f09eee30ee788ada6108d568,764,"0.93985 [0.918366, 0.959385]","0.467749 [0.380256, 0.565638]",4770,98,0.939850083869164,0.918365855973686,0.9593849418241631,0.46774897786170655,0.3802559607605806,0.5656379563723656,0.014906286907424498,0.013664425538720777,0.016134581699604075,0.1651376146788991,0.0014675052410901468,0.5,0.5,0.5,0.09183673469387756,0.9995719178082192,0.8181818181818182,0.9812985921412062,9,2,4670,89,ESTIMATED,ESTIMATED,ESTIMATED,c0ef85bd79b7e079a58a21aab89269df84d4b7d6cddbdcd8467aa3d5cf4abe78,"Descriptive arm estimate. CI is an individual-arm CI, not a paired-difference CI; no significance claim for a delta. Raw layer; operating point is the recorded P104 comparator rule, not a final clinical threshold.",D:\Codex_分拆Prompt嚴格無到院\outputs\v2\.p104rv\sweep_20260906T171453Z_account-09_v2\t0\r,8af47f1e3d7deb55686fb4f8ac1eb74e0c6139ecb4a69f8d89f355d4e6bc0699,D:\Codex_分拆Prompt嚴格無到院\outputs\v2\.p104k10\cloud_validation_index_20260906T211456Z\task_medicine__P1__missingness_median_indicator_validation.json,970e052eea84ced527068f94d0e0c3894497a9c5960f170cad01a135d4eb23f8
medicine__P1__missingness_mean_indicator,medicine,P1,missingness,mean_indicator,mean_indicator / mean_indicator,mean_indicator,oof_2020_2023,RAW_LOCKED_BASE_PREDICTIONS,raw,VALIDATED_COMPUTED,Locked inputs; missingness strategy=mean_indicator,d5d5e2d8a0734a0ce9af97a6606994868307c154f09eee30ee788ada6108d568,764,"0.901619 [0.873305, 0.928404]","0.18738 [0.127461, 0.26452]",15995,129,0.9016193762294095,0.873304747776314,0.9284043774499648,0.18738015363574625,0.12746101365168463,0.2645201214201689,0.007200329135633691,0.0067992983087504745,0.007596457500092301,0.1360544217687075,0.00012503907471084715,0.5,0.5,0.5,0.07751937984496124,0.999495777133493,0.5555555555555556,0.9925517932027289,10,8,15858,119,ESTIMATED,ESTIMATED,ESTIMATED,aafed358290fb1154988f8565e7fefcd0d493e5645a9235d8bffd54e199f8913,"Descriptive arm estimate. CI is an individual-arm CI, not a paired-difference CI; no significance claim for a delta. Raw layer; operating point is the recorded P104 comparator rule, not a final clinical threshold.",D:\Codex_分拆Prompt嚴格無到院\outputs\v2\.p104rv\sweep_20260906T171453Z_account-08_v2\t0\r,bd56790e2da9951d991518213ffe18d7205e4f1455e567e9b99f448597fbecce,D:\Codex_分拆Prompt嚴格無到院\outputs\v2\.p104k10\cloud_validation_index_20260906T211456Z\task_medicine__P1__missingness_mean_indicator_validation.json,622aaf90483c0f37869a40870f84273490750f4c9ad897a4dce8df9887eedffe
medicine__P1__missingness_mean_indicator,medicine,P1,missingness,mean_indicator,mean_indicator / mean_indicator,mean_indicator,validation_2024,RAW_LOCKED_BASE_PREDICTIONS,raw,VALIDATED_COMPUTED,Locked inputs; missingness strategy=mean_indicator,d5d5e2d8a0734a0ce9af97a6606994868307c154f09eee30ee788ada6108d568,764,"0.938402 [0.916312, 0.957897]","0.456748 [0.363472, 0.567658]",4770,98,0.9384020303326811,0.9163118760662723,0.9578966623258728,0.45674791712332624,0.36347159038253823,0.5676580222185925,0.015096012338396315,0.013855893266645311,0.016317823385381174,0.14814814814814814,0.0012578616352201257,0.5,0.5,0.5,0.08163265306122448,0.9995719178082192,0.8,0.9810924369747899,8,2,4670,90,ESTIMATED,ESTIMATED,ESTIMATED,c0ef85bd79b7e079a58a21aab89269df84d4b7d6cddbdcd8467aa3d5cf4abe78,"Descriptive arm estimate. CI is an individual-arm CI, not a paired-difference CI; no significance claim for a delta. Raw layer; operating point is the recorded P104 comparator rule, not a final clinical threshold.",D:\Codex_分拆Prompt嚴格無到院\outputs\v2\.p104rv\sweep_20260906T171453Z_account-08_v2\t0\r,bd56790e2da9951d991518213ffe18d7205e4f1455e567e9b99f448597fbecce,D:\Codex_分拆Prompt嚴格無到院\outputs\v2\.p104k10\cloud_validation_index_20260906T211456Z\task_medicine__P1__missingness_mean_indicator_validation.json,622aaf90483c0f37869a40870f84273490750f4c9ad897a4dce8df9887eedffe
medicine__P1__missingness_tree_native,medicine,P1,missingness,tree_native,tree_native / tree_native,tree_native,oof_2020_2023,RAW_LOCKED_BASE_PREDICTIONS,raw,VALIDATED_COMPUTED,Locked inputs; missingness strategy=tree_native,d5d5e2d8a0734a0ce9af97a6606994868307c154f09eee30ee788ada6108d568,764,"0.900835 [0.873619, 0.927022]","0.209326 [0.148699, 0.288305]",15995,129,0.9008347038228106,0.8736191686508226,0.9270219919381167,0.2093259236311848,0.1486988601338328,0.28830546880314545,0.007094233646229786,0.006706224945154472,0.007455665111003583,0.1267605633802817,0.00031259768677711783,0.5,0.5,0.5,0.06976744186046512,0.9997478885667465,0.6923076923076923,0.9924915529971218,9,4,15862,120,ESTIMATED,ESTIMATED,ESTIMATED,aafed358290fb1154988f8565e7fefcd0d493e5645a9235d8bffd54e199f8913,"Descriptive arm estimate. CI is an individual-arm CI, not a paired-difference CI; no significance claim for a delta. Raw layer; operating point is the recorded P104 comparator rule, not a final clinical threshold.",D:\Codex_分拆Prompt嚴格無到院\outputs\v2\.p104rv\sweep_20260906T171453Z_account-03_v2\t1\r,7c577a1a7443f0db1f83438bc0a9e37819d8b4500dd544479ff32ed689cda209,D:\Codex_分拆Prompt嚴格無到院\outputs\v2\.p104k10\cloud_validation_index_20260906T211456Z\task_medicine__P1__missingness_tree_native_validation.json,23f99a4fa97a5334cac6254a2f953709e16d7664b762005ffbc0f3b90a7fad6f
medicine__P1__missingness_tree_native,medicine,P1,missingness,tree_native,tree_native / tree_native,tree_native,validation_2024,RAW_LOCKED_BASE_PREDICTIONS,raw,VALIDATED_COMPUTED,Locked inputs; missingness strategy=tree_native,d5d5e2d8a0734a0ce9af97a6606994868307c154f09eee30ee788ada6108d568,764,"0.938391 [0.91648, 0.957113]","0.437287 [0.344725, 0.547416]",4770,98,0.938391109868605,0.9164797363204359,0.9571133642604606,0.4372869590169351,0.3447253109139263,0.5474159534195545,0.014941021361482735,0.013614287138195002,0.016273055487855577,0.22033898305084745,0.0012578616352201257,0.5,0.5,0.5,0.1326530612244898,0.9985017123287672,0.65,0.9821052631578947,13,7,4665,85,ESTIMATED,ESTIMATED,ESTIMATED,c0ef85bd79b7e079a58a21aab89269df84d4b7d6cddbdcd8467aa3d5cf4abe78,"Descriptive arm estimate. CI is an individual-arm CI, not a paired-difference CI; no significance claim for a delta. Raw layer; operating point is the recorded P104 comparator rule, not a final clinical threshold.",D:\Codex_分拆Prompt嚴格無到院\outputs\v2\.p104rv\sweep_20260906T171453Z_account-03_v2\t1\r,7c577a1a7443f0db1f83438bc0a9e37819d8b4500dd544479ff32ed689cda209,D:\Codex_分拆Prompt嚴格無到院\outputs\v2\.p104k10\cloud_validation_index_20260906T211456Z\task_medicine__P1__missingness_tree_native_validation.json,23f99a4fa97a5334cac6254a2f953709e16d7664b762005ffbc0f3b90a7fad6f
medicine__P1__missingness_median_no_indicator,medicine,P1,missingness,median_no_indicator,median_no_indicator / median_no_indicator,median_no_indicator,oof_2020_2023,RAW_LOCKED_BASE_PREDICTIONS,raw,VALIDATED_COMPUTED,Remove specified baseline missingness indicators; retain undefined-score safeguards,0be3019014561edcf1c1cb3d305a4c74d405f0e1a6a4b35b5b24545e22ab35a6,512,"0.898169 [0.869186, 0.923508]","0.188542 [0.128203, 0.263217]",15995,129,0.8981689674277891,0.8691857541079044,0.923507536317427,0.18854178249256787,0.1282034798991786,0.26321676669999144,0.0072092477273778795,0.006803777746240059,0.007607911995835925,0.12162162162162163,-6.251953735542357e-05,0.5,0.5,0.5,0.06976744186046512,0.9993697214168663,0.47368421052631576,0.9924887330996495,9,10,15856,120,ESTIMATED,ESTIMATED,ESTIMATED,aafed358290fb1154988f8565e7fefcd0d493e5645a9235d8bffd54e199f8913,"Descriptive arm estimate. CI is an individual-arm CI, not a paired-difference CI; no significance claim for a delta. Raw layer; operating point is the recorded P104 comparator rule, not a final clinical threshold. Specified MISS/indicator inputs removed; UNDEFINED_SCORE safeguards remain, so missingness information is not completely absent.",D:\Codex_分拆Prompt嚴格無到院\outputs\v2\.p104rv\sweep_20260906T151250Z_account-10_v2\t0\r,73bfd425b1bd442fbda12f991ba16f28e53d3e7c09cf4208bd23f8c6b74df46d,D:\Codex_分拆Prompt嚴格無到院\outputs\v2\.p104k10\cloud_validation_index_20260906T211456Z\task_medicine__P1__missingness_median_no_indicator_validation.json,5248ecef0069896b9eb5d367162d0674e341a3b10e3e9d282c1d465be4f48f1c
medicine__P1__missingness_median_no_indicator,medicine,P1,missingness,median_no_indicator,median_no_indicator / median_no_indicator,median_no_indicator,validation_2024,RAW_LOCKED_BASE_PREDICTIONS,raw,VALIDATED_COMPUTED,Remove specified baseline missingness indicators; retain undefined-score safeguards,0be3019014561edcf1c1cb3d305a4c74d405f0e1a6a4b35b5b24545e22ab35a6,512,"0.939457 [0.918235, 0.958853]","0.461664 [0.362249, 0.567308]",4770,98,0.9394569471624267,0.9182350082710266,0.9588529611674963,0.4616642590563633,0.36224860048672036,0.5673076973531821,0.01473922117014248,0.013433838388894958,0.016094052745559626,0.22608695652173913,0.0018867924528301887,0.5,0.5,0.5,0.1326530612244898,0.9991438356164384,0.7647058823529411,0.9821165579633916,13,4,4668,85,ESTIMATED,ESTIMATED,ESTIMATED,c0ef85bd79b7e079a58a21aab89269df84d4b7d6cddbdcd8467aa3d5cf4abe78,"Descriptive arm estimate. CI is an individual-arm CI, not a paired-difference CI; no significance claim for a delta. Raw layer; operating point is the recorded P104 comparator rule, not a final clinical threshold. Specified MISS/indicator inputs removed; UNDEFINED_SCORE safeguards remain, so missingness information is not completely absent.",D:\Codex_分拆Prompt嚴格無到院\outputs\v2\.p104rv\sweep_20260906T151250Z_account-10_v2\t0\r,73bfd425b1bd442fbda12f991ba16f28e53d3e7c09cf4208bd23f8c6b74df46d,D:\Codex_分拆Prompt嚴格無到院\outputs\v2\.p104k10\cloud_validation_index_20260906T211456Z\task_medicine__P1__missingness_median_no_indicator_validation.json,5248ecef0069896b9eb5d367162d0674e341a3b10e3e9d282c1d465be4f48f1c
medicine__P1__missingness_full_complete_case,medicine,P1,missingness,full_complete_case,full_complete_case / full_complete_case,full_complete_case,oof_2020_2023,RAW_LOCKED_BASE_PREDICTIONS,raw,VALIDATED_COMPUTED,Locked inputs; missingness strategy=full_complete_case,d5d5e2d8a0734a0ce9af97a6606994868307c154f09eee30ee788ada6108d568,764,"0.829787 [0.659574, 0.961702]","0.433333 [0.184335, 0.8]",52,5,0.8297872340425532,0.6595744680851063,0.9617021276595744,0.43333333333333335,0.18433531746031748,0.8,0.07989452078251258,0.058080001604836784,0.09728000900537828,0.0,0.0,0.5,0.5,0.5,0.0,1.0,,0.9038461538461539,0,0,47,5,ESTIMATED,ESTIMATED,ESTIMATED,6059e78d11c4648e01acd8b365efbaa48e94bceecf2ae735a45827deef5ae6ad,"Descriptive arm estimate. CI is an individual-arm CI, not a paired-difference CI; no significance claim for a delta. Raw layer; operating point is the recorded P104 comparator rule, not a final clinical threshold.",D:\Codex_分拆Prompt嚴格無到院\outputs\v2\.p104rv\sweep_20260906T151250Z_account-06_v2\t0\r,7a359a60a7b170d783800dc472a0bd0c6c36e094f7eb389746d99313a7a9ca16,D:\Codex_分拆Prompt嚴格無到院\outputs\v2\.p104k10\cloud_validation_index_20260906T211456Z\task_medicine__P1__missingness_full_complete_case_validation.json,2612dba419c7d71d558098b195926594bbf5c0e0bd4a86acb41d68b97500c53c
medicine__P1__missingness_full_complete_case,medicine,P1,missingness,full_complete_case,full_complete_case / full_complete_case,full_complete_case,validation_2024,RAW_LOCKED_BASE_PREDICTIONS,raw,VALIDATED_COMPUTED,Locked inputs; missingness strategy=full_complete_case,d5d5e2d8a0734a0ce9af97a6606994868307c154f09eee30ee788ada6108d568,764,"0.466667 [0.2, 0.733333]","0.153409 [0.11859, 0.325]",17,2,0.4666666666666667,0.2,0.7333333333333333,0.1534090909090909,0.11858974358974358,0.325,0.12507740350890337,0.11364339111753913,0.1472814581260305,0.0,0.0,0.5,0.5,0.5,0.0,1.0,,0.8823529411764706,0,0,15,2,ESTIMATED,ESTIMATED,ESTIMATED,f9e09719c0ebe7f62d212d7f4d3c30fabdde03d6cea288db7c94de3c351e69d8,"Descriptive arm estimate. CI is an individual-arm CI, not a paired-difference CI; no significance claim for a delta. Raw layer; operating point is the recorded P104 comparator rule, not a final clinical threshold.",D:\Codex_分拆Prompt嚴格無到院\outputs\v2\.p104rv\sweep_20260906T151250Z_account-06_v2\t0\r,7a359a60a7b170d783800dc472a0bd0c6c36e094f7eb389746d99313a7a9ca16,D:\Codex_分拆Prompt嚴格無到院\outputs\v2\.p104k10\cloud_validation_index_20260906T211456Z\task_medicine__P1__missingness_full_complete_case_validation.json,2612dba419c7d71d558098b195926594bbf5c0e0bd4a86acb41d68b97500c53c
