task_id,group,outcome,kind,analysis,Experiment,arm,split,probability_layer,presentation,completion_status,Features included,feature_set_id,feature_count,AUROC[CI],AUPRC[CI],N,events,AUROC,AUROC_lower_ci,AUROC_upper_ci,AUPRC,AUPRC_lower_ci,AUPRC_upper_ci,Brier,Brier_lower_ci,Brier_upper_ci,F1,net benefit,threshold_mean,threshold_min,threshold_max,sensitivity,specificity,PPV,NPV,TP,FP,TN,FN,AUROC_status,AUPRC_status,Brier_status,cohort_identity_sha256,Interpretation,source_result_root,source_result_receipt_sha256,source_validation_path,source_validation_sha256
medicine__P1__ed_congestion,medicine,P1,sensitivity,ed_congestion,ed_congestion / plus_congestion_tminus1h,plus_congestion_tminus1h,test_2024,RAW_LOCKED_BASE_PREDICTIONS,raw,VALIDATED_COMPUTED,Full prehospital inputs plus t-minus-1h congestion and 6/24h summaries,f287c3dae964c717ae49fa0c3910a9020512c3b7aff4b075e496556d847bbf3f,784,"0.92511 [0.897112, 0.949477]","0.390875 [0.303853, 0.49378]",4770,98,0.9251096414593234,0.8971123224663033,0.949476890255232,0.39087512590871126,0.3038533342221685,0.493779776817773,0.016316970838788924,0.015425583895457428,0.017219717649415083,0.020202020202020204,0.00020964360587002095,0.5,0.5,0.5,0.01020408163265306,1.0,1.0,0.9796603061438457,1,0,4672,97,ESTIMATED,ESTIMATED,ESTIMATED,c0ef85bd79b7e079a58a21aab89269df84d4b7d6cddbdcd8467aa3d5cf4abe78,"Descriptive arm estimate. CI is an individual-arm CI, not a paired-difference CI; no significance claim for a delta. Raw layer; operating point is the recorded P104 comparator rule, not a final clinical threshold. Fit2020-22; validation2023/test2024; no 2023 refit.",D:\Codex_分拆Prompt嚴格無到院\outputs\v2\.p104rv\sweep_20260906T151250Z_account-05_v2\t1\r,38a443e333f38ee8514d26d1cb5e02cbd74809ca3b618da297a8664ea4369f0c,D:\Codex_分拆Prompt嚴格無到院\outputs\v2\.p104k10\cloud_validation_index_20260906T211456Z\task_medicine__P1__ed_congestion_validation.json,7985f2eb2d727865d145921d930b54cb5031df9721606c61a549eed4d3a420d9
medicine__P1__ed_congestion,medicine,P1,sensitivity,ed_congestion,ed_congestion / plus_congestion_tminus1h,plus_congestion_tminus1h,validation_2023,RAW_LOCKED_BASE_PREDICTIONS,raw,VALIDATED_COMPUTED,Full prehospital inputs plus t-minus-1h congestion and 6/24h summaries,f287c3dae964c717ae49fa0c3910a9020512c3b7aff4b075e496556d847bbf3f,784,"0.884297 [0.839786, 0.922774]","0.18656 [0.0981643, 0.302562]",4115,45,0.8842970242970243,0.8397864729152261,0.9227738472567268,0.18656011017009796,0.09816434851183047,0.3025617974139126,0.0099238289734978,0.00937612640414053,0.010435017264823675,0.0,0.0,0.5,0.5,0.5,0.0,1.0,,0.9890643985419199,0,0,4070,45,ESTIMATED,ESTIMATED,ESTIMATED,b017de159f8b5e717a591ab9ba7026ec030267d94aefaf70e45e2e9f4c8f9440,"Descriptive arm estimate. CI is an individual-arm CI, not a paired-difference CI; no significance claim for a delta. Raw layer; operating point is the recorded P104 comparator rule, not a final clinical threshold. Fit2020-22; validation2023/test2024; no 2023 refit.",D:\Codex_分拆Prompt嚴格無到院\outputs\v2\.p104rv\sweep_20260906T151250Z_account-05_v2\t1\r,38a443e333f38ee8514d26d1cb5e02cbd74809ca3b618da297a8664ea4369f0c,D:\Codex_分拆Prompt嚴格無到院\outputs\v2\.p104k10\cloud_validation_index_20260906T211456Z\task_medicine__P1__ed_congestion_validation.json,7985f2eb2d727865d145921d930b54cb5031df9721606c61a549eed4d3a420d9
medicine__P1__ed_congestion,medicine,P1,sensitivity,ed_congestion,ed_congestion / prehospital_only,prehospital_only,test_2024,RAW_LOCKED_BASE_PREDICTIONS,raw,VALIDATED_COMPUTED,Full locked input feature order,d5d5e2d8a0734a0ce9af97a6606994868307c154f09eee30ee788ada6108d568,764,"0.932595 [0.907313, 0.955642]","0.455659 [0.357887, 0.556264]",4770,98,0.9325945275370422,0.9073130807354064,0.9556418653444807,0.4556585452383377,0.3578868861188032,0.556264481324046,0.016137559503148404,0.015229361360455447,0.017079019849039086,0.04,0.0004192872117400419,0.5,0.5,0.5,0.02040816326530612,1.0,1.0,0.9798657718120806,2,0,4672,96,ESTIMATED,ESTIMATED,ESTIMATED,c0ef85bd79b7e079a58a21aab89269df84d4b7d6cddbdcd8467aa3d5cf4abe78,"Descriptive arm estimate. CI is an individual-arm CI, not a paired-difference CI; no significance claim for a delta. Raw layer; operating point is the recorded P104 comparator rule, not a final clinical threshold. Fit2020-22; validation2023/test2024; no 2023 refit.",D:\Codex_分拆Prompt嚴格無到院\outputs\v2\.p104rv\sweep_20260906T151250Z_account-05_v2\t1\r,38a443e333f38ee8514d26d1cb5e02cbd74809ca3b618da297a8664ea4369f0c,D:\Codex_分拆Prompt嚴格無到院\outputs\v2\.p104k10\cloud_validation_index_20260906T211456Z\task_medicine__P1__ed_congestion_validation.json,7985f2eb2d727865d145921d930b54cb5031df9721606c61a549eed4d3a420d9
medicine__P1__ed_congestion,medicine,P1,sensitivity,ed_congestion,ed_congestion / prehospital_only,prehospital_only,validation_2023,RAW_LOCKED_BASE_PREDICTIONS,raw,VALIDATED_COMPUTED,Full locked input feature order,d5d5e2d8a0734a0ce9af97a6606994868307c154f09eee30ee788ada6108d568,764,"0.884958 [0.83454, 0.928394]","0.203776 [0.117473, 0.344615]",4115,45,0.884957684957685,0.8345399597000889,0.9283943532995231,0.2037761837129837,0.117473303110534,0.3446154678263652,0.009934095080529719,0.009437414019780654,0.010363661520385998,0.0,0.0,0.5,0.5,0.5,0.0,1.0,,0.9890643985419199,0,0,4070,45,ESTIMATED,ESTIMATED,ESTIMATED,b017de159f8b5e717a591ab9ba7026ec030267d94aefaf70e45e2e9f4c8f9440,"Descriptive arm estimate. CI is an individual-arm CI, not a paired-difference CI; no significance claim for a delta. Raw layer; operating point is the recorded P104 comparator rule, not a final clinical threshold. Fit2020-22; validation2023/test2024; no 2023 refit.",D:\Codex_分拆Prompt嚴格無到院\outputs\v2\.p104rv\sweep_20260906T151250Z_account-05_v2\t1\r,38a443e333f38ee8514d26d1cb5e02cbd74809ca3b618da297a8664ea4369f0c,D:\Codex_分拆Prompt嚴格無到院\outputs\v2\.p104k10\cloud_validation_index_20260906T211456Z\task_medicine__P1__ed_congestion_validation.json,7985f2eb2d727865d145921d930b54cb5031df9721606c61a549eed4d3a420d9
medicine__P2__ed_congestion,medicine,P2,sensitivity,ed_congestion,ed_congestion / plus_congestion_tminus1h,plus_congestion_tminus1h,test_2024,RAW_LOCKED_BASE_PREDICTIONS,raw,VALIDATED_COMPUTED,Full prehospital inputs plus t-minus-1h congestion and 6/24h summaries,f287c3dae964c717ae49fa0c3910a9020512c3b7aff4b075e496556d847bbf3f,784,"0.874457 [0.860558, 0.888246]","0.53219 [0.493782, 0.570469]",4770,568,0.8744569990145538,0.8605576519502206,0.8882456357199141,0.5321899817557073,0.4937821866042028,0.5704687076643542,0.08582186715886753,0.08180810379070187,0.08994907732280945,0.5207100591715976,0.00020964360587002095,0.5,0.5,0.5,0.5422535211267606,0.9269395525940028,0.5008130081300813,0.937424789410349,308,307,3895,260,ESTIMATED,ESTIMATED,ESTIMATED,0780a684c7649fee5c15d381b9b48819feda53386948f4bdbde630fecbceb886,"Descriptive arm estimate. CI is an individual-arm CI, not a paired-difference CI; no significance claim for a delta. Raw layer; operating point is the recorded P104 comparator rule, not a final clinical threshold. Fit2020-22; validation2023/test2024; no 2023 refit.",D:\Codex_分拆Prompt嚴格無到院\outputs\v2\.p104rv\sweep_20260906T191424Z_account-02_v2\t3\r,0a70c3aa23882215464d4d06c1722fafaf36ad3b8790523a7a0e9daabab10d9a,D:\Codex_分拆Prompt嚴格無到院\outputs\v2\.p104k10\cloud_validation_index_20260906T211456Z\task_medicine__P2__ed_congestion_validation.json,8de66cb0ca866f7bae4bb683872a1687c24dd653f779ebca008731e067f6a5f6
medicine__P2__ed_congestion,medicine,P2,sensitivity,ed_congestion,ed_congestion / plus_congestion_tminus1h,plus_congestion_tminus1h,validation_2023,RAW_LOCKED_BASE_PREDICTIONS,raw,VALIDATED_COMPUTED,Full prehospital inputs plus t-minus-1h congestion and 6/24h summaries,f287c3dae964c717ae49fa0c3910a9020512c3b7aff4b075e496556d847bbf3f,784,"0.881901 [0.86526, 0.898101]","0.517385 [0.475614, 0.562854]",4115,452,0.8819014106624725,0.8652603904680648,0.8981005542251929,0.5173846633830205,0.47561428332505,0.5628540400674581,0.07944269315211341,0.07489296931822352,0.08366688306468754,0.517051705170517,0.0031591737545565005,0.5,0.5,0.5,0.5199115044247787,0.9393939393939394,0.5142231947483589,0.940677966101695,235,222,3441,217,ESTIMATED,ESTIMATED,ESTIMATED,8a345ba94ed91c6f5f0398db94fa62201721017e92ea7b501f79527a6153ef3c,"Descriptive arm estimate. CI is an individual-arm CI, not a paired-difference CI; no significance claim for a delta. Raw layer; operating point is the recorded P104 comparator rule, not a final clinical threshold. Fit2020-22; validation2023/test2024; no 2023 refit.",D:\Codex_分拆Prompt嚴格無到院\outputs\v2\.p104rv\sweep_20260906T191424Z_account-02_v2\t3\r,0a70c3aa23882215464d4d06c1722fafaf36ad3b8790523a7a0e9daabab10d9a,D:\Codex_分拆Prompt嚴格無到院\outputs\v2\.p104k10\cloud_validation_index_20260906T211456Z\task_medicine__P2__ed_congestion_validation.json,8de66cb0ca866f7bae4bb683872a1687c24dd653f779ebca008731e067f6a5f6
medicine__P2__ed_congestion,medicine,P2,sensitivity,ed_congestion,ed_congestion / prehospital_only,prehospital_only,test_2024,RAW_LOCKED_BASE_PREDICTIONS,raw,VALIDATED_COMPUTED,Full locked input feature order,d5d5e2d8a0734a0ce9af97a6606994868307c154f09eee30ee788ada6108d568,764,"0.876744 [0.862687, 0.890543]","0.542823 [0.506559, 0.583265]",4770,568,0.8767442230728493,0.8626870838728254,0.8905431650532595,0.5428226197336208,0.5065588032351055,0.5832651619566829,0.08704469512109142,0.08270731904424053,0.09137235580821071,0.5219512195121951,-0.0041928721174004195,0.5,0.5,0.5,0.5651408450704225,0.918848167539267,0.48489425981873113,0.939873417721519,321,341,3861,247,ESTIMATED,ESTIMATED,ESTIMATED,0780a684c7649fee5c15d381b9b48819feda53386948f4bdbde630fecbceb886,"Descriptive arm estimate. CI is an individual-arm CI, not a paired-difference CI; no significance claim for a delta. Raw layer; operating point is the recorded P104 comparator rule, not a final clinical threshold. Fit2020-22; validation2023/test2024; no 2023 refit.",D:\Codex_分拆Prompt嚴格無到院\outputs\v2\.p104rv\sweep_20260906T191424Z_account-02_v2\t3\r,0a70c3aa23882215464d4d06c1722fafaf36ad3b8790523a7a0e9daabab10d9a,D:\Codex_分拆Prompt嚴格無到院\outputs\v2\.p104k10\cloud_validation_index_20260906T211456Z\task_medicine__P2__ed_congestion_validation.json,8de66cb0ca866f7bae4bb683872a1687c24dd653f779ebca008731e067f6a5f6
medicine__P2__ed_congestion,medicine,P2,sensitivity,ed_congestion,ed_congestion / prehospital_only,prehospital_only,validation_2023,RAW_LOCKED_BASE_PREDICTIONS,raw,VALIDATED_COMPUTED,Full locked input feature order,d5d5e2d8a0734a0ce9af97a6606994868307c154f09eee30ee788ada6108d568,764,"0.883234 [0.867684, 0.897957]","0.524222 [0.480877, 0.572111]",4115,452,0.8832337969506112,0.8676841569669604,0.897957326009289,0.5242218587381315,0.4808766704030413,0.5721110290456827,0.08018107234292814,0.07600754003014759,0.08450255385666595,0.5118790496760259,0.0,0.5,0.5,0.5,0.5243362831858407,0.9352989352989353,0.5,0.9409502883823125,237,237,3426,215,ESTIMATED,ESTIMATED,ESTIMATED,8a345ba94ed91c6f5f0398db94fa62201721017e92ea7b501f79527a6153ef3c,"Descriptive arm estimate. CI is an individual-arm CI, not a paired-difference CI; no significance claim for a delta. Raw layer; operating point is the recorded P104 comparator rule, not a final clinical threshold. Fit2020-22; validation2023/test2024; no 2023 refit.",D:\Codex_分拆Prompt嚴格無到院\outputs\v2\.p104rv\sweep_20260906T191424Z_account-02_v2\t3\r,0a70c3aa23882215464d4d06c1722fafaf36ad3b8790523a7a0e9daabab10d9a,D:\Codex_分拆Prompt嚴格無到院\outputs\v2\.p104k10\cloud_validation_index_20260906T211456Z\task_medicine__P2__ed_congestion_validation.json,8de66cb0ca866f7bae4bb683872a1687c24dd653f779ebca008731e067f6a5f6
medicine__P3__ed_congestion,medicine,P3,sensitivity,ed_congestion,ed_congestion / plus_congestion_tminus1h,plus_congestion_tminus1h,test_2024,RAW_LOCKED_BASE_PREDICTIONS,raw,VALIDATED_COMPUTED,Full prehospital inputs plus t-minus-1h congestion and 6/24h summaries,f287c3dae964c717ae49fa0c3910a9020512c3b7aff4b075e496556d847bbf3f,784,"0.887483 [0.867125, 0.906718]","0.358411 [0.309391, 0.418749]",4770,253,0.8874825975826062,0.8671249855388552,0.9067180940863986,0.35841089692457473,0.30939070171226707,0.4187486472317537,0.04050132863260497,0.03830006085109842,0.04270709650297017,0.22910216718266255,0.0008385744234800838,0.5,0.5,0.5,0.14624505928853754,0.9926942661058225,0.5285714285714286,0.9540425531914893,37,33,4484,216,ESTIMATED,ESTIMATED,ESTIMATED,140bd3741e53d90e3e0f0e2579abb5e63f66a3d0188a50176737c65b27e22bdc,"Descriptive arm estimate. CI is an individual-arm CI, not a paired-difference CI; no significance claim for a delta. Raw layer; operating point is the recorded P104 comparator rule, not a final clinical threshold. Fit2020-22; validation2023/test2024; no 2023 refit.",D:\Codex_分拆Prompt嚴格無到院\outputs\v2\.p104rv\sweep_20260906T171453Z_account-09_v2\t4\r,ff41ac747121302bb8f9602c7fea4d214e33f7aac8ae9e1bfbf0bf16b759c865,D:\Codex_分拆Prompt嚴格無到院\outputs\v2\.p104k10\cloud_validation_index_20260906T211456Z\task_medicine__P3__ed_congestion_validation.json,2a5047b4dde43e7f8a4fc6db1831a99f3f3d860b291efda3069be98706dd2577
medicine__P3__ed_congestion,medicine,P3,sensitivity,ed_congestion,ed_congestion / plus_congestion_tminus1h,plus_congestion_tminus1h,validation_2023,RAW_LOCKED_BASE_PREDICTIONS,raw,VALIDATED_COMPUTED,Full prehospital inputs plus t-minus-1h congestion and 6/24h summaries,f287c3dae964c717ae49fa0c3910a9020512c3b7aff4b075e496556d847bbf3f,784,"0.883397 [0.858688, 0.906476]","0.389722 [0.330554, 0.456338]",4115,211,0.8833970262605858,0.8586881666025469,0.906476251530747,0.3897216502934195,0.33055440952656423,0.4563384643718015,0.03839242550357233,0.03615753746763717,0.04064344567812483,0.2178988326848249,0.002430133657351154,0.5,0.5,0.5,0.13270142180094788,0.9953893442622951,0.6086956521739131,0.9550258048660605,28,18,3886,183,ESTIMATED,ESTIMATED,ESTIMATED,766bd2997ba2847a032436f5dd9f02aeec7b352d5ff229af0819f0cb33b23d82,"Descriptive arm estimate. CI is an individual-arm CI, not a paired-difference CI; no significance claim for a delta. Raw layer; operating point is the recorded P104 comparator rule, not a final clinical threshold. Fit2020-22; validation2023/test2024; no 2023 refit.",D:\Codex_分拆Prompt嚴格無到院\outputs\v2\.p104rv\sweep_20260906T171453Z_account-09_v2\t4\r,ff41ac747121302bb8f9602c7fea4d214e33f7aac8ae9e1bfbf0bf16b759c865,D:\Codex_分拆Prompt嚴格無到院\outputs\v2\.p104k10\cloud_validation_index_20260906T211456Z\task_medicine__P3__ed_congestion_validation.json,2a5047b4dde43e7f8a4fc6db1831a99f3f3d860b291efda3069be98706dd2577
