task_id,group,outcome,kind,analysis,Experiment,arm,split,probability_layer,presentation,completion_status,Features included,feature_set_id,feature_count,AUROC[CI],AUPRC[CI],N,events,AUROC,AUROC_lower_ci,AUROC_upper_ci,AUPRC,AUPRC_lower_ci,AUPRC_upper_ci,Brier,Brier_lower_ci,Brier_upper_ci,F1,net benefit,threshold_mean,threshold_min,threshold_max,sensitivity,specificity,PPV,NPV,TP,FP,TN,FN,AUROC_status,AUPRC_status,Brier_status,cohort_identity_sha256,Interpretation,source_result_root,source_result_receipt_sha256,source_validation_path,source_validation_sha256
surgery__P1__grouped_vs_naive_cv,surgery,P1,sensitivity,grouped_vs_naive_cv,grouped_vs_naive_cv / naive_row_stratified,naive_row_stratified,oof_2020_2023,RAW_LOCKED_BASE_PREDICTIONS,raw,VALIDATED_COMPUTED,Full locked input feature order,d5d5e2d8a0734a0ce9af97a6606994868307c154f09eee30ee788ada6108d568,764,"0.950585 [0.875793, 0.998474]","0.200856 [0.0762758, 0.490507]",8731,9,0.9505847282733317,0.8757926102913448,0.9984743112213855,0.20085646264513723,0.07627578582326108,0.49050707227687834,0.0009441373292520283,0.0007654333883805612,0.0010815924498233155,0.0,-0.00011453441759248655,0.5,0.5,0.5,0.0,0.9998853473973859,0.0,0.9989690721649485,0,1,8721,9,ESTIMATED,ESTIMATED,ESTIMATED,1932ab87fa0d7e44ab97647eaaf7048d214482266e54e2c6f8f2735bc7bcc360,"Descriptive arm estimate. CI is an individual-arm CI, not a paired-difference CI; no significance claim for a delta. Raw layer; operating point is the recorded P104 comparator rule, not a final clinical threshold.",D:\Codex_分拆Prompt嚴格無到院\outputs\v2\.p104rv\sweep_20260906T171453Z_account-03_v2\t15\r,f797deb1ac82e0213215e1286249687e7862ec66f0831f4221568723d96c2bde,D:\Codex_分拆Prompt嚴格無到院\outputs\v2\.p104k10\cloud_validation_index_20260906T211456Z\task_surgery__P1__grouped_vs_naive_cv_validation.json,210e7086dc7c39d1e7cbdb44ebcbb3a554a04ba6a97f9b856902e2c63cc50b78
surgery__P1__grouped_vs_naive_cv,surgery,P1,sensitivity,grouped_vs_naive_cv,grouped_vs_naive_cv / naive_row_stratified,naive_row_stratified,validation_2024,RAW_LOCKED_BASE_PREDICTIONS,raw,VALIDATED_COMPUTED,Full locked input feature order,d5d5e2d8a0734a0ce9af97a6606994868307c154f09eee30ee788ada6108d568,764,"0.96658 [0.907992, 0.997246]","0.261247 [0.136754, 0.577983]",2712,9,0.9665803428289556,0.9079919967348582,0.9972459094194648,0.26124708624708626,0.13675377559035962,0.5779827375222112,0.0029070521270473954,0.002433658432845902,0.0033338403117313775,0.0,0.0,0.5,0.5,0.5,0.0,1.0,,0.9966814159292036,0,0,2703,9,ESTIMATED,ESTIMATED,ESTIMATED,275a2492f4ab239e2924d96e5ac4b4b8de9740d648fcdb97738717fab3e688ae,"Descriptive arm estimate. CI is an individual-arm CI, not a paired-difference CI; no significance claim for a delta. Raw layer; operating point is the recorded P104 comparator rule, not a final clinical threshold.",D:\Codex_分拆Prompt嚴格無到院\outputs\v2\.p104rv\sweep_20260906T171453Z_account-03_v2\t15\r,f797deb1ac82e0213215e1286249687e7862ec66f0831f4221568723d96c2bde,D:\Codex_分拆Prompt嚴格無到院\outputs\v2\.p104k10\cloud_validation_index_20260906T211456Z\task_surgery__P1__grouped_vs_naive_cv_validation.json,210e7086dc7c39d1e7cbdb44ebcbb3a554a04ba6a97f9b856902e2c63cc50b78
surgery__P1__grouped_vs_naive_cv,surgery,P1,sensitivity,grouped_vs_naive_cv,grouped_vs_naive_cv / patient_grouped,patient_grouped,oof_2020_2023,RAW_LOCKED_BASE_PREDICTIONS,raw,VALIDATED_COMPUTED,Full locked input feature order,d5d5e2d8a0734a0ce9af97a6606994868307c154f09eee30ee788ada6108d568,764,"0.962419 [0.910813, 0.998483]","0.177373 [0.0685869, 0.452865]",8731,9,0.9624194246987184,0.9108131095401362,0.9984826504139629,0.177372565678338,0.06858690257417255,0.45286525721399623,0.0009840552865293232,0.0008863187338858175,0.0010850182995808563,0.0,-0.00011453441759248655,0.5,0.5,0.5,0.0,0.9998853473973859,0.0,0.9989690721649485,0,1,8721,9,ESTIMATED,ESTIMATED,ESTIMATED,1932ab87fa0d7e44ab97647eaaf7048d214482266e54e2c6f8f2735bc7bcc360,"Descriptive arm estimate. CI is an individual-arm CI, not a paired-difference CI; no significance claim for a delta. Raw layer; operating point is the recorded P104 comparator rule, not a final clinical threshold.",D:\Codex_分拆Prompt嚴格無到院\outputs\v2\.p104rv\sweep_20260906T171453Z_account-03_v2\t15\r,f797deb1ac82e0213215e1286249687e7862ec66f0831f4221568723d96c2bde,D:\Codex_分拆Prompt嚴格無到院\outputs\v2\.p104k10\cloud_validation_index_20260906T211456Z\task_surgery__P1__grouped_vs_naive_cv_validation.json,210e7086dc7c39d1e7cbdb44ebcbb3a554a04ba6a97f9b856902e2c63cc50b78
surgery__P1__grouped_vs_naive_cv,surgery,P1,sensitivity,grouped_vs_naive_cv,grouped_vs_naive_cv / patient_grouped,patient_grouped,validation_2024,RAW_LOCKED_BASE_PREDICTIONS,raw,VALIDATED_COMPUTED,Full locked input feature order,d5d5e2d8a0734a0ce9af97a6606994868307c154f09eee30ee788ada6108d568,764,"0.96658 [0.907125, 0.997339]","0.261247 [0.134385, 0.566202]",2712,9,0.9665803428289556,0.9071245801225729,0.9973385554315363,0.26124708624708626,0.1343846740304219,0.5662020357049345,0.0029070521270473954,0.0024497064799921626,0.003347605940021444,0.0,0.0,0.5,0.5,0.5,0.0,1.0,,0.9966814159292036,0,0,2703,9,ESTIMATED,ESTIMATED,ESTIMATED,275a2492f4ab239e2924d96e5ac4b4b8de9740d648fcdb97738717fab3e688ae,"Descriptive arm estimate. CI is an individual-arm CI, not a paired-difference CI; no significance claim for a delta. Raw layer; operating point is the recorded P104 comparator rule, not a final clinical threshold.",D:\Codex_分拆Prompt嚴格無到院\outputs\v2\.p104rv\sweep_20260906T171453Z_account-03_v2\t15\r,f797deb1ac82e0213215e1286249687e7862ec66f0831f4221568723d96c2bde,D:\Codex_分拆Prompt嚴格無到院\outputs\v2\.p104k10\cloud_validation_index_20260906T211456Z\task_surgery__P1__grouped_vs_naive_cv_validation.json,210e7086dc7c39d1e7cbdb44ebcbb3a554a04ba6a97f9b856902e2c63cc50b78
surgery__P2__grouped_vs_naive_cv,surgery,P2,sensitivity,grouped_vs_naive_cv,grouped_vs_naive_cv / naive_row_stratified,naive_row_stratified,oof_2020_2023,RAW_LOCKED_BASE_PREDICTIONS,raw,VALIDATED_COMPUTED,Full locked input feature order,d5d5e2d8a0734a0ce9af97a6606994868307c154f09eee30ee788ada6108d568,764,"0.933537 [0.916902, 0.94878]","0.301612 [0.229317, 0.38923]",8731,120,0.9335365617620872,0.9169018002890599,0.9487801190451612,0.3016116386187826,0.2293172594847889,0.38922955640429635,0.011258492984594807,0.010489894428904585,0.01194804892551888,0.2,0.0009162753407398924,0.5,0.5,0.5,0.11666666666666667,0.9993032168157009,0.7,0.9878314774423144,14,6,8605,106,ESTIMATED,ESTIMATED,ESTIMATED,130bc8455e784aaee6dc8388642d0acdd1930bbe7cc625bb9771c4ca288a7be7,"Descriptive arm estimate. CI is an individual-arm CI, not a paired-difference CI; no significance claim for a delta. Raw layer; operating point is the recorded P104 comparator rule, not a final clinical threshold.",D:\Codex_分拆Prompt嚴格無到院\outputs\v2\.p104rv\sweep_20260906T171453Z_account-09_v2\t17\r,a3bcc53ae205ba1df43dc98402119ce4259ac587d4a73abbecf4ea64ae5d2c01,D:\Codex_分拆Prompt嚴格無到院\outputs\v2\.p104k10\cloud_validation_index_20260906T211456Z\task_surgery__P2__grouped_vs_naive_cv_validation.json,e0a3095c2f36d38387c858d4126f218e09cdd603e66d7a161562801ba402d7a7
surgery__P2__grouped_vs_naive_cv,surgery,P2,sensitivity,grouped_vs_naive_cv,grouped_vs_naive_cv / naive_row_stratified,naive_row_stratified,validation_2024,RAW_LOCKED_BASE_PREDICTIONS,raw,VALIDATED_COMPUTED,Full locked input feature order,d5d5e2d8a0734a0ce9af97a6606994868307c154f09eee30ee788ada6108d568,764,"0.920652 [0.878116, 0.95521]","0.369779 [0.23768, 0.539534]",2712,41,0.9206518066678232,0.8781159998742055,0.9552096464784872,0.36977913513121524,0.23768035555283268,0.5395337472920521,0.011737739166374965,0.00991134606402792,0.013508459411153218,0.3728813559322034,0.0014749262536873156,0.5,0.5,0.5,0.2682926829268293,0.997379258704605,0.6111111111111112,0.9888641425389755,11,7,2664,30,ESTIMATED,ESTIMATED,ESTIMATED,21ebd3380ad1406a8f533d9a1de9595edd1deb562833aa9f07147c175011bf44,"Descriptive arm estimate. CI is an individual-arm CI, not a paired-difference CI; no significance claim for a delta. Raw layer; operating point is the recorded P104 comparator rule, not a final clinical threshold.",D:\Codex_分拆Prompt嚴格無到院\outputs\v2\.p104rv\sweep_20260906T171453Z_account-09_v2\t17\r,a3bcc53ae205ba1df43dc98402119ce4259ac587d4a73abbecf4ea64ae5d2c01,D:\Codex_分拆Prompt嚴格無到院\outputs\v2\.p104k10\cloud_validation_index_20260906T211456Z\task_surgery__P2__grouped_vs_naive_cv_validation.json,e0a3095c2f36d38387c858d4126f218e09cdd603e66d7a161562801ba402d7a7
surgery__P2__grouped_vs_naive_cv,surgery,P2,sensitivity,grouped_vs_naive_cv,grouped_vs_naive_cv / patient_grouped,patient_grouped,oof_2020_2023,RAW_LOCKED_BASE_PREDICTIONS,raw,VALIDATED_COMPUTED,Full locked input feature order,d5d5e2d8a0734a0ce9af97a6606994868307c154f09eee30ee788ada6108d568,764,"0.93904 [0.923899, 0.952399]","0.302333 [0.22749, 0.390414]",8731,120,0.939040181163628,0.9238993090517851,0.9523989787786294,0.30233259584687333,0.22748958826579543,0.390414408717721,0.011255446687565805,0.010488386269932004,0.011978588475961446,0.14492753623188406,0.0002290688351849731,0.5,0.5,0.5,0.08333333333333333,0.9990709557542677,0.5555555555555556,0.9873751865029267,10,8,8603,110,ESTIMATED,ESTIMATED,ESTIMATED,130bc8455e784aaee6dc8388642d0acdd1930bbe7cc625bb9771c4ca288a7be7,"Descriptive arm estimate. CI is an individual-arm CI, not a paired-difference CI; no significance claim for a delta. Raw layer; operating point is the recorded P104 comparator rule, not a final clinical threshold.",D:\Codex_分拆Prompt嚴格無到院\outputs\v2\.p104rv\sweep_20260906T171453Z_account-09_v2\t17\r,a3bcc53ae205ba1df43dc98402119ce4259ac587d4a73abbecf4ea64ae5d2c01,D:\Codex_分拆Prompt嚴格無到院\outputs\v2\.p104k10\cloud_validation_index_20260906T211456Z\task_surgery__P2__grouped_vs_naive_cv_validation.json,e0a3095c2f36d38387c858d4126f218e09cdd603e66d7a161562801ba402d7a7
surgery__P2__grouped_vs_naive_cv,surgery,P2,sensitivity,grouped_vs_naive_cv,grouped_vs_naive_cv / patient_grouped,patient_grouped,validation_2024,RAW_LOCKED_BASE_PREDICTIONS,raw,VALIDATED_COMPUTED,Full locked input feature order,d5d5e2d8a0734a0ce9af97a6606994868307c154f09eee30ee788ada6108d568,764,"0.920652 [0.8766, 0.955075]","0.369779 [0.236143, 0.531174]",2712,41,0.9206518066678232,0.8765999574780816,0.9550750331004578,0.36977913513121524,0.2361429971593085,0.5311741492812676,0.011737739166374965,0.009986894202152008,0.013517206812802815,0.3728813559322034,0.0014749262536873156,0.5,0.5,0.5,0.2682926829268293,0.997379258704605,0.6111111111111112,0.9888641425389755,11,7,2664,30,ESTIMATED,ESTIMATED,ESTIMATED,21ebd3380ad1406a8f533d9a1de9595edd1deb562833aa9f07147c175011bf44,"Descriptive arm estimate. CI is an individual-arm CI, not a paired-difference CI; no significance claim for a delta. Raw layer; operating point is the recorded P104 comparator rule, not a final clinical threshold.",D:\Codex_分拆Prompt嚴格無到院\outputs\v2\.p104rv\sweep_20260906T171453Z_account-09_v2\t17\r,a3bcc53ae205ba1df43dc98402119ce4259ac587d4a73abbecf4ea64ae5d2c01,D:\Codex_分拆Prompt嚴格無到院\outputs\v2\.p104k10\cloud_validation_index_20260906T211456Z\task_surgery__P2__grouped_vs_naive_cv_validation.json,e0a3095c2f36d38387c858d4126f218e09cdd603e66d7a161562801ba402d7a7
surgery__P3__grouped_vs_naive_cv,surgery,P3,sensitivity,grouped_vs_naive_cv,grouped_vs_naive_cv / naive_row_stratified,naive_row_stratified,oof_2020_2023,RAW_LOCKED_BASE_PREDICTIONS,raw,VALIDATED_COMPUTED,Full locked input feature order,d5d5e2d8a0734a0ce9af97a6606994868307c154f09eee30ee788ada6108d568,764,"0.963551 [0.941261, 0.98282]","0.407626 [0.284852, 0.538738]",8731,56,0.9635508439687113,0.9412608717792722,0.9828197714181222,0.4076256540652203,0.28485227709908695,0.5387376128507098,0.004831020324966438,0.0042130333860644735,0.005502950322778996,0.3466666666666667,0.0008017409231474057,0.5,0.5,0.5,0.23214285714285715,0.9993083573487032,0.6842105263157895,0.9950642791551882,13,6,8669,43,ESTIMATED,ESTIMATED,ESTIMATED,c42a4719722ee0c224b5fadf049344c464798fd56614702960c820c014c78731,"Descriptive arm estimate. CI is an individual-arm CI, not a paired-difference CI; no significance claim for a delta. Raw layer; operating point is the recorded P104 comparator rule, not a final clinical threshold.",D:\Codex_分拆Prompt嚴格無到院\outputs\v2\.p104rv\sweep_20260906T151250Z_account-05_v2\t20\r,3a1ed53675fa12879fbff31f7bef8dbad9b7a181716cd634d3090e8204548507,D:\Codex_分拆Prompt嚴格無到院\outputs\v2\.p104k10\cloud_validation_index_20260906T211456Z\task_surgery__P3__grouped_vs_naive_cv_validation.json,de1c9a463ec976a0cac76d402edc42d97954b5ee9ae6e313e64b6c8a007f52ad
surgery__P3__grouped_vs_naive_cv,surgery,P3,sensitivity,grouped_vs_naive_cv,grouped_vs_naive_cv / naive_row_stratified,naive_row_stratified,validation_2024,RAW_LOCKED_BASE_PREDICTIONS,raw,VALIDATED_COMPUTED,Full locked input feature order,d5d5e2d8a0734a0ce9af97a6606994868307c154f09eee30ee788ada6108d568,764,"0.945021 [0.890224, 0.985553]","0.582494 [0.417482, 0.784883]",2712,32,0.9450209888059702,0.8902241439306411,0.9855533038164229,0.5824944976066049,0.41748199273506614,0.7848833399577977,0.006004757861441242,0.004217866318393722,0.00797414915837181,0.7272727272727273,0.006268436578171091,0.5,0.5,0.5,0.625,0.9988805970149254,0.8695652173913043,0.9955373744886575,20,3,2677,12,ESTIMATED,ESTIMATED,ESTIMATED,8362377c52501bcb78d857c69f7a66e78bcb3e8291d74a36208230b84f828621,"Descriptive arm estimate. CI is an individual-arm CI, not a paired-difference CI; no significance claim for a delta. Raw layer; operating point is the recorded P104 comparator rule, not a final clinical threshold.",D:\Codex_分拆Prompt嚴格無到院\outputs\v2\.p104rv\sweep_20260906T151250Z_account-05_v2\t20\r,3a1ed53675fa12879fbff31f7bef8dbad9b7a181716cd634d3090e8204548507,D:\Codex_分拆Prompt嚴格無到院\outputs\v2\.p104k10\cloud_validation_index_20260906T211456Z\task_surgery__P3__grouped_vs_naive_cv_validation.json,de1c9a463ec976a0cac76d402edc42d97954b5ee9ae6e313e64b6c8a007f52ad
