task_id,group,outcome,kind,analysis,Experiment,arm,split,probability_layer,presentation,completion_status,Features included,feature_set_id,feature_count,AUROC[CI],AUPRC[CI],N,events,AUROC,AUROC_lower_ci,AUROC_upper_ci,AUPRC,AUPRC_lower_ci,AUPRC_upper_ci,Brier,Brier_lower_ci,Brier_upper_ci,F1,net benefit,threshold_mean,threshold_min,threshold_max,sensitivity,specificity,PPV,NPV,TP,FP,TN,FN,AUROC_status,AUPRC_status,Brier_status,cohort_identity_sha256,Interpretation,source_result_root,source_result_receipt_sha256,source_validation_path,source_validation_sha256
surgery__P1__01_standardization,surgery,P1,ablation,01_standardization,01_standardization / logistic_scaled,logistic_scaled,oof_2020_2023,RAW_RECORDED_PREDICTIONS,raw,VALIDATED_COMPUTED,Full locked input feature order,d5d5e2d8a0734a0ce9af97a6606994868307c154f09eee30ee788ada6108d568,764,"0.445744 [0.199467, 0.697391]","0.00347606 [0.000879333, 0.0182596]",8731,9,0.445743840607404,0.1994674672904401,0.6973911656008607,0.0034760639473884816,0.00087933268161086,0.018259563685564514,0.0027501234542081855,0.0020662395394289183,0.0035773648334673706,0.0,-0.001718016263887298,0.5,0.5,0.5,0.0,0.9982802109607888,0.0,0.9989674162459844,0,15,8707,9,ESTIMATED,ESTIMATED,ESTIMATED,1932ab87fa0d7e44ab97647eaaf7048d214482266e54e2c6f8f2735bc7bcc360,"Descriptive arm estimate. CI is an individual-arm CI, not a paired-difference CI; no significance claim for a delta. Raw layer; operating point is the recorded P104 comparator rule, not a final clinical threshold.",D:\Codex_分拆Prompt嚴格無到院\outputs\v2\specialty_opname_v1\p1_04_extension_20260905\runs\surgery__P1__01_standardization,e7ab33b5fe2ddfb3b6642960b57454c30dcb722f67d4813f81f3215e28705de0,D:\Codex_分拆Prompt嚴格無到院\outputs\v2\specialty_opname_v1\p1_04_extension_20260905\local_dispatch_full\validations\surgery__P1__01_standardization\e7ab33b5fe2ddfb3_3c510f4d0008.report.json,9f02a74b830f1e9ae55f470151365d131666178a6d5de2166ca67c45018a98e2
surgery__P1__01_standardization,surgery,P1,ablation,01_standardization,01_standardization / logistic_scaled,logistic_scaled,validation_2024,RAW_RECORDED_PREDICTIONS,raw,VALIDATED_COMPUTED,Full locked input feature order,d5d5e2d8a0734a0ce9af97a6606994868307c154f09eee30ee788ada6108d568,764,"0.923583 [0.825105, 0.998722]","0.429169 [0.171814, 0.811512]",2712,9,0.9235828503309081,0.8251051888026989,0.9987224343944999,0.42916934001166024,0.171813694116988,0.8115121401668012,0.002695390849989935,0.001322471161634648,0.0043886546147225815,0.5555555555555556,0.0003687315634218289,0.5,0.5,0.5,0.5555555555555556,0.998520162782094,0.5555555555555556,0.998520162782094,5,4,2699,4,ESTIMATED,ESTIMATED,ESTIMATED,275a2492f4ab239e2924d96e5ac4b4b8de9740d648fcdb97738717fab3e688ae,"Descriptive arm estimate. CI is an individual-arm CI, not a paired-difference CI; no significance claim for a delta. Raw layer; operating point is the recorded P104 comparator rule, not a final clinical threshold.",D:\Codex_分拆Prompt嚴格無到院\outputs\v2\specialty_opname_v1\p1_04_extension_20260905\runs\surgery__P1__01_standardization,e7ab33b5fe2ddfb3b6642960b57454c30dcb722f67d4813f81f3215e28705de0,D:\Codex_分拆Prompt嚴格無到院\outputs\v2\specialty_opname_v1\p1_04_extension_20260905\local_dispatch_full\validations\surgery__P1__01_standardization\e7ab33b5fe2ddfb3_3c510f4d0008.report.json,9f02a74b830f1e9ae55f470151365d131666178a6d5de2166ca67c45018a98e2
surgery__P1__01_standardization,surgery,P1,ablation,01_standardization,01_standardization / logistic_unscaled,logistic_unscaled,oof_2020_2023,RAW_RECORDED_PREDICTIONS,raw,VALIDATED_COMPUTED,Full locked input feature order,d5d5e2d8a0734a0ce9af97a6606994868307c154f09eee30ee788ada6108d568,764,"0.660921 [0.477012, 0.84995]","0.0357887 [0.00287956, 0.188171]",8731,9,0.6609212973578944,0.4770121640915186,0.8499500448802554,0.03578866272813783,0.0028795629340450956,0.18817060758527301,0.0021491850678930047,0.0014626576413626715,0.0028933166312985403,0.15384615384615385,-0.001488947428702325,0.5,0.5,0.5,0.2222222222222222,0.9982802109607888,0.11764705882352941,0.9991966949736056,2,15,8707,7,ESTIMATED,ESTIMATED,ESTIMATED,1932ab87fa0d7e44ab97647eaaf7048d214482266e54e2c6f8f2735bc7bcc360,"Descriptive arm estimate. CI is an individual-arm CI, not a paired-difference CI; no significance claim for a delta. Raw layer; operating point is the recorded P104 comparator rule, not a final clinical threshold.",D:\Codex_分拆Prompt嚴格無到院\outputs\v2\specialty_opname_v1\p1_04_extension_20260905\runs\surgery__P1__01_standardization,e7ab33b5fe2ddfb3b6642960b57454c30dcb722f67d4813f81f3215e28705de0,D:\Codex_分拆Prompt嚴格無到院\outputs\v2\specialty_opname_v1\p1_04_extension_20260905\local_dispatch_full\validations\surgery__P1__01_standardization\e7ab33b5fe2ddfb3_3c510f4d0008.report.json,9f02a74b830f1e9ae55f470151365d131666178a6d5de2166ca67c45018a98e2
surgery__P1__01_standardization,surgery,P1,ablation,01_standardization,01_standardization / logistic_unscaled,logistic_unscaled,validation_2024,RAW_RECORDED_PREDICTIONS,raw,VALIDATED_COMPUTED,Full locked input feature order,d5d5e2d8a0734a0ce9af97a6606994868307c154f09eee30ee788ada6108d568,764,"0.913779 [0.766186, 0.997574]","0.470867 [0.185511, 0.780344]",2712,9,0.9137789287622805,0.7661862519854777,0.9975744641568737,0.47086686768655794,0.18551134354119062,0.7803436291305558,0.003982341044001294,0.0021438792541104887,0.005958208679687057,0.36363636363636365,-0.0018436578171091445,0.5,0.5,0.5,0.4444444444444444,0.9966703662597114,0.3076923076923077,0.9981474620229714,4,9,2694,5,ESTIMATED,ESTIMATED,ESTIMATED,275a2492f4ab239e2924d96e5ac4b4b8de9740d648fcdb97738717fab3e688ae,"Descriptive arm estimate. CI is an individual-arm CI, not a paired-difference CI; no significance claim for a delta. Raw layer; operating point is the recorded P104 comparator rule, not a final clinical threshold.",D:\Codex_分拆Prompt嚴格無到院\outputs\v2\specialty_opname_v1\p1_04_extension_20260905\runs\surgery__P1__01_standardization,e7ab33b5fe2ddfb3b6642960b57454c30dcb722f67d4813f81f3215e28705de0,D:\Codex_分拆Prompt嚴格無到院\outputs\v2\specialty_opname_v1\p1_04_extension_20260905\local_dispatch_full\validations\surgery__P1__01_standardization\e7ab33b5fe2ddfb3_3c510f4d0008.report.json,9f02a74b830f1e9ae55f470151365d131666178a6d5de2166ca67c45018a98e2
surgery__P1__02_time_variables,surgery,P1,ablation,02_time_variables,02_time_variables / locked_full,locked_full,oof_2020_2023,RAW_RECORDED_PREDICTIONS,raw,VALIDATED_COMPUTED,Full locked input feature order,d5d5e2d8a0734a0ce9af97a6606994868307c154f09eee30ee788ada6108d568,764,"0.962419 [0.91463, 0.998411]","0.177373 [0.0748634, 0.439122]",8731,9,0.9624194246987184,0.9146295149662338,0.9984107401067732,0.177372565678338,0.07486341540399058,0.43912175747791626,0.0009840552865293232,0.0008892541482503523,0.0010788316534954647,0.0,-0.00011453441759248655,0.5,0.5,0.5,0.0,0.9998853473973859,0.0,0.9989690721649485,0,1,8721,9,ESTIMATED,ESTIMATED,ESTIMATED,1932ab87fa0d7e44ab97647eaaf7048d214482266e54e2c6f8f2735bc7bcc360,"Descriptive arm estimate. CI is an individual-arm CI, not a paired-difference CI; no significance claim for a delta. Raw layer; operating point is the recorded P104 comparator rule, not a final clinical threshold. Primary amended time contrast uses the exact corrected plan; old20 results are secondary evidence only.",D:\Codex_分拆Prompt嚴格無到院\outputs\v2\specialty_opname_v1\time_interval_complete_successor_20260905\runs\surgery__P1__02_time_variables,b5ccb88df925550e16119390fda0bc6df34aa59d701bbf573ec12667bef3bc5e,D:\Codex_分拆Prompt嚴格無到院\outputs\v2\specialty_opname_v1\time_interval_complete_successor_20260905\runs\surgery__P1__02_time_variables\validation_report.json,096e4a4da5b790d896771c68c49cf397892e42f0a3372bf5054742c1c461cc38
surgery__P1__02_time_variables,surgery,P1,ablation,02_time_variables,02_time_variables / locked_full,locked_full,validation_2024,RAW_RECORDED_PREDICTIONS,raw,VALIDATED_COMPUTED,Full locked input feature order,d5d5e2d8a0734a0ce9af97a6606994868307c154f09eee30ee788ada6108d568,764,"0.96658 [0.908112, 0.997408]","0.261247 [0.143121, 0.575463]",2712,9,0.9665803428289556,0.9081123768577135,0.9974075272129801,0.26124708624708626,0.1431212947637544,0.5754630150984316,0.0029070521270473954,0.0024287016402163657,0.003321868185756498,0.0,0.0,0.5,0.5,0.5,0.0,1.0,,0.9966814159292036,0,0,2703,9,ESTIMATED,ESTIMATED,ESTIMATED,275a2492f4ab239e2924d96e5ac4b4b8de9740d648fcdb97738717fab3e688ae,"Descriptive arm estimate. CI is an individual-arm CI, not a paired-difference CI; no significance claim for a delta. Raw layer; operating point is the recorded P104 comparator rule, not a final clinical threshold. Primary amended time contrast uses the exact corrected plan; old20 results are secondary evidence only.",D:\Codex_分拆Prompt嚴格無到院\outputs\v2\specialty_opname_v1\time_interval_complete_successor_20260905\runs\surgery__P1__02_time_variables,b5ccb88df925550e16119390fda0bc6df34aa59d701bbf573ec12667bef3bc5e,D:\Codex_分拆Prompt嚴格無到院\outputs\v2\specialty_opname_v1\time_interval_complete_successor_20260905\runs\surgery__P1__02_time_variables\validation_report.json,096e4a4da5b790d896771c68c49cf397892e42f0a3372bf5054742c1c461cc38
surgery__P1__02_time_variables,surgery,P1,ablation,02_time_variables,02_time_variables / without_time_intervals_complete,without_time_intervals_complete,oof_2020_2023,RAW_RECORDED_PREDICTIONS,raw,VALIDATED_COMPUTED,Exact corrected time-plan inputs; original time group and six transport-interval aliases excluded,4134699b4820dc78a3efecb755bbe61150f1bbeb88a8b157c8816e5bec8558f4,738,"0.964662 [0.918354, 0.99852]","0.173654 [0.073382, 0.451152]",8731,9,0.9646615200387271,0.9183542607378504,0.9985200487441147,0.17365396971777647,0.07338199503719293,0.4511517297590411,0.0009834241766232498,0.0008887846614760411,0.0010821729755330634,0.0,-0.00011453441759248655,0.5,0.5,0.5,0.0,0.9998853473973859,0.0,0.9989690721649485,0,1,8721,9,ESTIMATED,ESTIMATED,ESTIMATED,1932ab87fa0d7e44ab97647eaaf7048d214482266e54e2c6f8f2735bc7bcc360,"Descriptive arm estimate. CI is an individual-arm CI, not a paired-difference CI; no significance claim for a delta. Raw layer; operating point is the recorded P104 comparator rule, not a final clinical threshold. Primary amended time contrast uses the exact corrected plan; old20 results are secondary evidence only.",D:\Codex_分拆Prompt嚴格無到院\outputs\v2\specialty_opname_v1\time_interval_complete_successor_20260905\runs\surgery__P1__02_time_variables,b5ccb88df925550e16119390fda0bc6df34aa59d701bbf573ec12667bef3bc5e,D:\Codex_分拆Prompt嚴格無到院\outputs\v2\specialty_opname_v1\time_interval_complete_successor_20260905\runs\surgery__P1__02_time_variables\validation_report.json,096e4a4da5b790d896771c68c49cf397892e42f0a3372bf5054742c1c461cc38
surgery__P1__02_time_variables,surgery,P1,ablation,02_time_variables,02_time_variables / without_time_intervals_complete,without_time_intervals_complete,validation_2024,RAW_RECORDED_PREDICTIONS,raw,VALIDATED_COMPUTED,Exact corrected time-plan inputs; original time group and six transport-interval aliases excluded,4134699b4820dc78a3efecb755bbe61150f1bbeb88a8b157c8816e5bec8558f4,738,"0.967197 [0.909094, 0.997782]","0.280946 [0.156779, 0.58345]",2712,9,0.9671969416697497,0.9090944487636166,0.9977819058899714,0.28094626744999973,0.1567792492769548,0.5834500197887643,0.0029230694375869735,0.002496891707511291,0.003310992667570207,0.0,0.0,0.5,0.5,0.5,0.0,1.0,,0.9966814159292036,0,0,2703,9,ESTIMATED,ESTIMATED,ESTIMATED,275a2492f4ab239e2924d96e5ac4b4b8de9740d648fcdb97738717fab3e688ae,"Descriptive arm estimate. CI is an individual-arm CI, not a paired-difference CI; no significance claim for a delta. Raw layer; operating point is the recorded P104 comparator rule, not a final clinical threshold. Primary amended time contrast uses the exact corrected plan; old20 results are secondary evidence only.",D:\Codex_分拆Prompt嚴格無到院\outputs\v2\specialty_opname_v1\time_interval_complete_successor_20260905\runs\surgery__P1__02_time_variables,b5ccb88df925550e16119390fda0bc6df34aa59d701bbf573ec12667bef3bc5e,D:\Codex_分拆Prompt嚴格無到院\outputs\v2\specialty_opname_v1\time_interval_complete_successor_20260905\runs\surgery__P1__02_time_variables\validation_report.json,096e4a4da5b790d896771c68c49cf397892e42f0a3372bf5054742c1c461cc38
surgery__P1__03_emt_treatment,surgery,P1,ablation,03_emt_treatment,03_emt_treatment / locked_full,locked_full,oof_2020_2023,RAW_RECORDED_PREDICTIONS,raw,VALIDATED_COMPUTED,Full locked input feature order,d5d5e2d8a0734a0ce9af97a6606994868307c154f09eee30ee788ada6108d568,764,"0.962419 [0.91463, 0.998411]","0.177373 [0.0748634, 0.439122]",8731,9,0.9624194246987184,0.9146295149662338,0.9984107401067732,0.177372565678338,0.07486341540399058,0.43912175747791626,0.0009840552865293232,0.0008892541482503523,0.0010788316534954647,0.0,-0.00011453441759248655,0.5,0.5,0.5,0.0,0.9998853473973859,0.0,0.9989690721649485,0,1,8721,9,ESTIMATED,ESTIMATED,ESTIMATED,1932ab87fa0d7e44ab97647eaaf7048d214482266e54e2c6f8f2735bc7bcc360,"Descriptive arm estimate. CI is an individual-arm CI, not a paired-difference CI; no significance claim for a delta. Raw layer; operating point is the recorded P104 comparator rule, not a final clinical threshold.",D:\Codex_分拆Prompt嚴格無到院\outputs\v2\.p104rv\sweep_20260906T171453Z_account-09_v2\t12\r,9ec6a2a54904fbe879fe890d8657be17c67190d5f2d9ded514d0e2b598411d34,D:\Codex_分拆Prompt嚴格無到院\outputs\v2\.p104k10\cloud_validation_index_20260906T211456Z\task_surgery__P1__03_emt_treatment_validation.json,a1ca50c802cf9d2ee3c5ed01334dc745b00688d6b5d45fb8868970e34cceb857
surgery__P1__03_emt_treatment,surgery,P1,ablation,03_emt_treatment,03_emt_treatment / locked_full,locked_full,validation_2024,RAW_RECORDED_PREDICTIONS,raw,VALIDATED_COMPUTED,Full locked input feature order,d5d5e2d8a0734a0ce9af97a6606994868307c154f09eee30ee788ada6108d568,764,"0.96658 [0.908112, 0.997408]","0.261247 [0.143121, 0.575463]",2712,9,0.9665803428289556,0.9081123768577135,0.9974075272129801,0.26124708624708626,0.1431212947637544,0.5754630150984316,0.0029070521270473954,0.0024287016402163657,0.003321868185756498,0.0,0.0,0.5,0.5,0.5,0.0,1.0,,0.9966814159292036,0,0,2703,9,ESTIMATED,ESTIMATED,ESTIMATED,275a2492f4ab239e2924d96e5ac4b4b8de9740d648fcdb97738717fab3e688ae,"Descriptive arm estimate. CI is an individual-arm CI, not a paired-difference CI; no significance claim for a delta. Raw layer; operating point is the recorded P104 comparator rule, not a final clinical threshold.",D:\Codex_分拆Prompt嚴格無到院\outputs\v2\.p104rv\sweep_20260906T171453Z_account-09_v2\t12\r,9ec6a2a54904fbe879fe890d8657be17c67190d5f2d9ded514d0e2b598411d34,D:\Codex_分拆Prompt嚴格無到院\outputs\v2\.p104k10\cloud_validation_index_20260906T211456Z\task_surgery__P1__03_emt_treatment_validation.json,a1ca50c802cf9d2ee3c5ed01334dc745b00688d6b5d45fb8868970e34cceb857
