task_id,group,outcome,kind,analysis,Experiment,arm,split,probability_layer,presentation,completion_status,Features included,feature_set_id,feature_count,AUROC[CI],AUPRC[CI],N,events,AUROC,AUROC_lower_ci,AUROC_upper_ci,AUPRC,AUPRC_lower_ci,AUPRC_upper_ci,Brier,Brier_lower_ci,Brier_upper_ci,F1,net benefit,threshold_mean,threshold_min,threshold_max,sensitivity,specificity,PPV,NPV,TP,FP,TN,FN,AUROC_status,AUPRC_status,Brier_status,cohort_identity_sha256,Interpretation,source_result_root,source_result_receipt_sha256,source_validation_path,source_validation_sha256
medicine__P1__city_holdout,medicine,P1,sensitivity,city_holdout,city_holdout / new_taipei_to_taipei,new_taipei_to_taipei,validation_2024,RAW_LOCKED_BASE_PREDICTIONS,raw,VALIDATED_COMPUTED,Full inputs excluding city indicators,7d7d5072ef2ce2613240a30d5c141a5f36ff992825f5c63e35a0d1803e3823f8,760,"0.863681 [0.748763, 0.961698]","0.480926 [0.230273, 0.732371]",487,13,0.8636806231742941,0.7487632128113234,0.9616976008181543,0.48092581377641425,0.23027336000138074,0.7323713133582328,0.024734686262200385,0.02313752006341928,0.026261098980482442,0.0,0.0,0.5,0.5,0.5,0.0,1.0,,0.973305954825462,0,0,474,13,ESTIMATED,ESTIMATED,ESTIMATED,76ebca3c64b970438b9a8c8d9882e56b2c87f947f2e98b20f6481c740dd5d4a0,"Descriptive arm estimate. CI is an individual-arm CI, not a paired-difference CI; no significance claim for a delta. Raw layer; operating point is the recorded P104 comparator rule, not a final clinical threshold.",D:\Codex_分拆Prompt嚴格無到院\outputs\v2\.p104rv\sweep_20260906T161352Z_account-04_v3\t1\r,9b75f836a9f12bfa063211c9f200bbea3f0b3ea43cfb4d5182a9c0e573d7433f,D:\Codex_分拆Prompt嚴格無到院\outputs\v2\.p104k10\cloud_validation_index_20260906T211456Z\task_medicine__P1__city_holdout_validation.json,e32f5e853016f3e306e99d0526a30bbf0de2bd012cb111e8fc7b4d29f60f2e2e
medicine__P1__city_holdout,medicine,P1,sensitivity,city_holdout,city_holdout / taipei_to_new_taipei,taipei_to_new_taipei,validation_2024,RAW_LOCKED_BASE_PREDICTIONS,raw,VALIDATED_COMPUTED,Full inputs excluding city indicators,7d7d5072ef2ce2613240a30d5c141a5f36ff992825f5c63e35a0d1803e3823f8,760,"0.86757 [0.823467, 0.905142]","0.167812 [0.121891, 0.240231]",4283,85,0.8675699913123895,0.8234667477553984,0.9051418711908933,0.16781164310528376,0.12189053071838502,0.2402311266360141,0.018298477372972508,0.01780253459215628,0.018778997761240764,0.0,0.0,0.5,0.5,0.5,0.0,1.0,,0.9801540975951436,0,0,4198,85,ESTIMATED,ESTIMATED,ESTIMATED,4ec7b725867c48918345f725834f512167f201a85cf45afa9f92a795a5339095,"Descriptive arm estimate. CI is an individual-arm CI, not a paired-difference CI; no significance claim for a delta. Raw layer; operating point is the recorded P104 comparator rule, not a final clinical threshold.",D:\Codex_分拆Prompt嚴格無到院\outputs\v2\.p104rv\sweep_20260906T161352Z_account-04_v3\t1\r,9b75f836a9f12bfa063211c9f200bbea3f0b3ea43cfb4d5182a9c0e573d7433f,D:\Codex_分拆Prompt嚴格無到院\outputs\v2\.p104k10\cloud_validation_index_20260906T211456Z\task_medicine__P1__city_holdout_validation.json,e32f5e853016f3e306e99d0526a30bbf0de2bd012cb111e8fc7b4d29f60f2e2e
medicine__P2__city_holdout,medicine,P2,sensitivity,city_holdout,city_holdout / new_taipei_to_taipei,new_taipei_to_taipei,validation_2024,RAW_LOCKED_BASE_PREDICTIONS,raw,VALIDATED_COMPUTED,Full inputs excluding city indicators,7d7d5072ef2ce2613240a30d5c141a5f36ff992825f5c63e35a0d1803e3823f8,760,"0.874551 [0.828464, 0.916269]","0.537595 [0.436638, 0.675343]",487,63,0.874550763701707,0.8284644908463997,0.9162693068248624,0.5375945015290708,0.436637708658935,0.6753428944392306,0.09223364070056514,0.08473391816988787,0.09997400282581122,0.43478260869565216,0.022587268993839837,0.5,0.5,0.5,0.31746031746031744,0.9787735849056604,0.6896551724137931,0.9061135371179039,20,9,415,43,ESTIMATED,ESTIMATED,ESTIMATED,8a9fa045ab4b444c40e22ebe8d503380b34b53a1abad3b8685ed6d76d7ef9566,"Descriptive arm estimate. CI is an individual-arm CI, not a paired-difference CI; no significance claim for a delta. Raw layer; operating point is the recorded P104 comparator rule, not a final clinical threshold.",D:\Codex_分拆Prompt嚴格無到院\outputs\v2\.p104rv\sweep_20260906T211456Z_account-01_v2\t3\r,bb7b89001b2721f655cb28a159bf5933fdc31cd731b8d2c466c14d747e38254a,D:\Codex_分拆Prompt嚴格無到院\outputs\v2\.p104k10\cloud_validation_index_20260906T211456Z\task_medicine__P2__city_holdout_validation.json,db6818606c252fa526146e9de7a2af87ee64500f9b0c7c08d95877eb7638642e
medicine__P2__city_holdout,medicine,P2,sensitivity,city_holdout,city_holdout / taipei_to_new_taipei,taipei_to_new_taipei,validation_2024,RAW_LOCKED_BASE_PREDICTIONS,raw,VALIDATED_COMPUTED,Full inputs excluding city indicators,7d7d5072ef2ce2613240a30d5c141a5f36ff992825f5c63e35a0d1803e3823f8,760,"0.805593 [0.784742, 0.826075]","0.375965 [0.340642, 0.419095]",4283,505,0.8055925656091284,0.7847421448283662,0.8260749343026962,0.37596510100193575,0.34064182169103374,0.4190954620054694,0.09022353712807112,0.08701419221538632,0.09330321486609276,0.20949263502454993,0.005136586504786365,0.5,0.5,0.5,0.12673267326732673,0.9888830068819481,0.6037735849056604,0.8944218338520469,64,42,3736,441,ESTIMATED,ESTIMATED,ESTIMATED,4e2f161f3655a8107ed228f6332ae4ba77bf20e2521ad1b3139b7399d01c8b89,"Descriptive arm estimate. CI is an individual-arm CI, not a paired-difference CI; no significance claim for a delta. Raw layer; operating point is the recorded P104 comparator rule, not a final clinical threshold.",D:\Codex_分拆Prompt嚴格無到院\outputs\v2\.p104rv\sweep_20260906T211456Z_account-01_v2\t3\r,bb7b89001b2721f655cb28a159bf5933fdc31cd731b8d2c466c14d747e38254a,D:\Codex_分拆Prompt嚴格無到院\outputs\v2\.p104k10\cloud_validation_index_20260906T211456Z\task_medicine__P2__city_holdout_validation.json,db6818606c252fa526146e9de7a2af87ee64500f9b0c7c08d95877eb7638642e
medicine__P3__city_holdout,medicine,P3,sensitivity,city_holdout,city_holdout / new_taipei_to_taipei,new_taipei_to_taipei,validation_2024,RAW_LOCKED_BASE_PREDICTIONS,raw,VALIDATED_COMPUTED,Full inputs excluding city indicators,7d7d5072ef2ce2613240a30d5c141a5f36ff992825f5c63e35a0d1803e3823f8,760,"0.794978 [0.702553, 0.867087]","0.133912 [0.0939604, 0.249321]",487,23,0.7949775112443778,0.7025529522526798,0.8670872359963269,0.13391200195656902,0.093960401232699,0.24932107446786342,0.0450807555055965,0.04117375190990679,0.04987304386480191,0.0,0.0,0.5,0.5,0.5,0.0,1.0,,0.9527720739219713,0,0,464,23,ESTIMATED,ESTIMATED,ESTIMATED,38799dccb9f4e1d7dc3a05febc83f956d5e3f36a076e0e425e593ec72faa4902,"Descriptive arm estimate. CI is an individual-arm CI, not a paired-difference CI; no significance claim for a delta. Raw layer; operating point is the recorded P104 comparator rule, not a final clinical threshold.",D:\Codex_分拆Prompt嚴格無到院\outputs\v2\.p104rv\sweep_20260906T171453Z_account-08_v2\t4\r,5eba558960c28e345e96ca00bb609cfe90c9b97971742b68bb53260739dc6b54,D:\Codex_分拆Prompt嚴格無到院\outputs\v2\.p104k10\cloud_validation_index_20260906T211456Z\task_medicine__P3__city_holdout_validation.json,d65bb88338551ed8ac61773acab8d397ccf3fbfc20cd8588b339b5e6f966aac8
medicine__P3__city_holdout,medicine,P3,sensitivity,city_holdout,city_holdout / taipei_to_new_taipei,taipei_to_new_taipei,validation_2024,RAW_LOCKED_BASE_PREDICTIONS,raw,VALIDATED_COMPUTED,Full inputs excluding city indicators,7d7d5072ef2ce2613240a30d5c141a5f36ff992825f5c63e35a0d1803e3823f8,760,"0.82408 [0.793336, 0.852221]","0.199554 [0.171728, 0.238845]",4283,230,0.8240798549651895,0.7933362770128388,0.8522213135974858,0.19955366096485974,0.17172846812597992,0.23884525406157878,0.04998258349288835,0.04745870628273123,0.05253681057597924,0.07692307692307693,-0.007938360961942564,0.5,0.5,0.5,0.04782608695652174,0.9888971132494448,0.19642857142857142,0.9481902058197303,11,45,4008,219,ESTIMATED,ESTIMATED,ESTIMATED,68d070d0a01703ba6834bbcb550f5240fd6887b7105567fd236b77ba54f96ac0,"Descriptive arm estimate. CI is an individual-arm CI, not a paired-difference CI; no significance claim for a delta. Raw layer; operating point is the recorded P104 comparator rule, not a final clinical threshold.",D:\Codex_分拆Prompt嚴格無到院\outputs\v2\.p104rv\sweep_20260906T171453Z_account-08_v2\t4\r,5eba558960c28e345e96ca00bb609cfe90c9b97971742b68bb53260739dc6b54,D:\Codex_分拆Prompt嚴格無到院\outputs\v2\.p104k10\cloud_validation_index_20260906T211456Z\task_medicine__P3__city_holdout_validation.json,d65bb88338551ed8ac61773acab8d397ccf3fbfc20cd8588b339b5e6f966aac8
medicine__S1__city_holdout,medicine,S1,sensitivity,city_holdout,city_holdout / new_taipei_to_taipei,new_taipei_to_taipei,validation_2024,RAW_LOCKED_BASE_PREDICTIONS,raw,VALIDATED_COMPUTED,Full inputs excluding city indicators,7d7d5072ef2ce2613240a30d5c141a5f36ff992825f5c63e35a0d1803e3823f8,760,"0.869303 [0.773621, 0.945655]","0.489682 [0.297839, 0.698842]",487,21,0.8693030860412835,0.7736205349377439,0.9456549798409066,0.4896820239292544,0.29783923488300273,0.6988415152752057,0.03441158094505861,0.030601896772270036,0.03824401593582949,0.0,0.0,0.5,0.5,0.5,0.0,1.0,,0.9568788501026694,0,0,466,21,ESTIMATED,ESTIMATED,ESTIMATED,126af99743c3f33477f5f84aab7da2b29ba0f803302017d8606ac61d179b354c,"Descriptive arm estimate. CI is an individual-arm CI, not a paired-difference CI; no significance claim for a delta. Raw layer; operating point is the recorded P104 comparator rule, not a final clinical threshold.",D:\Codex_分拆Prompt嚴格無到院\outputs\v2\.p104rv\sweep_20260906T191424Z_account-02_v2\t6\r,695bb0c1226c09a6ca6cb03606c1b1b697756490fade4959b8d52ee48c0d7f2d,D:\Codex_分拆Prompt嚴格無到院\outputs\v2\.p104k10\cloud_validation_index_20260906T211456Z\task_medicine__S1__city_holdout_validation.json,115eb78edea1669731f0d23d3e33c840f0b48b97c99b9d54b314f488dba233d9
medicine__S1__city_holdout,medicine,S1,sensitivity,city_holdout,city_holdout / taipei_to_new_taipei,taipei_to_new_taipei,validation_2024,RAW_LOCKED_BASE_PREDICTIONS,raw,VALIDATED_COMPUTED,Full inputs excluding city indicators,7d7d5072ef2ce2613240a30d5c141a5f36ff992825f5c63e35a0d1803e3823f8,760,"0.763285 [0.718762, 0.803982]","0.12858 [0.103969, 0.164438]",4283,153,0.7632847489278196,0.7187616867846216,0.8039820723439126,0.12858024412112298,0.1039686867873326,0.16443758544715587,0.03486603753286621,0.033344513590124136,0.03646319318602225,0.04395604395604396,-0.004903105300023348,0.5,0.5,0.5,0.026143790849673203,0.9939467312348669,0.13793103448275862,0.9649741419840151,4,25,4105,149,ESTIMATED,ESTIMATED,ESTIMATED,048a65aafb00ecb2849925c9f9f66c8667c82db190b28273d921e21da611c13a,"Descriptive arm estimate. CI is an individual-arm CI, not a paired-difference CI; no significance claim for a delta. Raw layer; operating point is the recorded P104 comparator rule, not a final clinical threshold.",D:\Codex_分拆Prompt嚴格無到院\outputs\v2\.p104rv\sweep_20260906T191424Z_account-02_v2\t6\r,695bb0c1226c09a6ca6cb03606c1b1b697756490fade4959b8d52ee48c0d7f2d,D:\Codex_分拆Prompt嚴格無到院\outputs\v2\.p104k10\cloud_validation_index_20260906T211456Z\task_medicine__S1__city_holdout_validation.json,115eb78edea1669731f0d23d3e33c840f0b48b97c99b9d54b314f488dba233d9
medicine__S2__city_holdout,medicine,S2,sensitivity,city_holdout,city_holdout / new_taipei_to_taipei,new_taipei_to_taipei,validation_2024,RAW_LOCKED_BASE_PREDICTIONS,raw,VALIDATED_COMPUTED,Full inputs excluding city indicators,7d7d5072ef2ce2613240a30d5c141a5f36ff992825f5c63e35a0d1803e3823f8,760,"0.870215 [0.784299, 0.941279]","0.484879 [0.323924, 0.66819]",487,28,0.8702147525676938,0.7842988571972587,0.9412785063720983,0.48487885360009786,0.32392416475669256,0.6681901348633704,0.04351341188459295,0.03924229204240867,0.047770702875997724,0.0,0.0,0.5,0.5,0.5,0.0,1.0,,0.9425051334702259,0,0,459,28,ESTIMATED,ESTIMATED,ESTIMATED,4ca30999ddbb6fa8778be946cb149c001659fceebcc33d93f446e741a38219ff,"Descriptive arm estimate. CI is an individual-arm CI, not a paired-difference CI; no significance claim for a delta. Raw layer; operating point is the recorded P104 comparator rule, not a final clinical threshold.",D:\Codex_分拆Prompt嚴格無到院\outputs\v2\.p104rv\sweep_20260906T151250Z_account-05_v2\t7\r,0ac4ce1b5767fd2dd39ab53d472621d019d9e33ac445201a735d7ffae1b316f3,D:\Codex_分拆Prompt嚴格無到院\outputs\v2\.p104k10\cloud_validation_index_20260906T211456Z\task_medicine__S2__city_holdout_validation.json,f482182db06602c4dcf9c30f8dc515d5a475c25043e4f5540705664c3381d1fb
medicine__S2__city_holdout,medicine,S2,sensitivity,city_holdout,city_holdout / taipei_to_new_taipei,taipei_to_new_taipei,validation_2024,RAW_LOCKED_BASE_PREDICTIONS,raw,VALIDATED_COMPUTED,Full inputs excluding city indicators,7d7d5072ef2ce2613240a30d5c141a5f36ff992825f5c63e35a0d1803e3823f8,760,"0.819473 [0.788478, 0.847305]","0.245622 [0.210131, 0.295316]",4283,239,0.8194732420363449,0.7884780585182509,0.8473046613850836,0.24562185982759507,0.21013146224220428,0.295315880766503,0.04631764532316947,0.04442898938307383,0.04825943821702522,0.03187250996015936,-0.0009339248190520663,0.5,0.5,0.5,0.016736401673640166,0.9980217606330366,0.3333333333333333,0.9449777569655818,4,8,4036,235,ESTIMATED,ESTIMATED,ESTIMATED,435523715d88dc928f1795b58805412145c5212ef7c71c6c9295c2b1956958e3,"Descriptive arm estimate. CI is an individual-arm CI, not a paired-difference CI; no significance claim for a delta. Raw layer; operating point is the recorded P104 comparator rule, not a final clinical threshold.",D:\Codex_分拆Prompt嚴格無到院\outputs\v2\.p104rv\sweep_20260906T151250Z_account-05_v2\t7\r,0ac4ce1b5767fd2dd39ab53d472621d019d9e33ac445201a735d7ffae1b316f3,D:\Codex_分拆Prompt嚴格無到院\outputs\v2\.p104k10\cloud_validation_index_20260906T211456Z\task_medicine__S2__city_holdout_validation.json,f482182db06602c4dcf9c30f8dc515d5a475c25043e4f5540705664c3381d1fb
