task_id,group,outcome,kind,analysis,Experiment,arm,split,probability_layer,presentation,completion_status,Features included,feature_set_id,feature_count,AUROC[CI],AUPRC[CI],N,events,AUROC,AUROC_lower_ci,AUROC_upper_ci,AUPRC,AUPRC_lower_ci,AUPRC_upper_ci,Brier,Brier_lower_ci,Brier_upper_ci,F1,net benefit,threshold_mean,threshold_min,threshold_max,sensitivity,specificity,PPV,NPV,TP,FP,TN,FN,AUROC_status,AUPRC_status,Brier_status,cohort_identity_sha256,Interpretation,source_result_root,source_result_receipt_sha256,source_validation_path,source_validation_sha256
medicine__P1__dnr_dnr_blind,medicine,P1,dnr,dnr_blind,dnr_blind / all_comer_reference,all_comer_reference,oof_2020_2023,RAW_LOCKED_BASE_PREDICTIONS,raw,VALIDATED_COMPUTED,Full locked input feature order,d5d5e2d8a0734a0ce9af97a6606994868307c154f09eee30ee788ada6108d568,764,"0.89465 [0.867537, 0.919668]","0.196083 [0.133819, 0.27299]",15995,129,0.8946501562993168,0.8675373184082982,0.9196676134289921,0.1960832756094135,0.1338185263814605,0.27298951321460646,0.007160918010070117,0.006743094431497487,0.007552017379769969,0.12162162162162163,-6.251953735542357e-05,0.5,0.5,0.5,0.06976744186046512,0.9993697214168663,0.47368421052631576,0.9924887330996495,9,10,15856,120,ESTIMATED,ESTIMATED,ESTIMATED,aafed358290fb1154988f8565e7fefcd0d493e5645a9235d8bffd54e199f8913,"Descriptive arm estimate. CI is an individual-arm CI, not a paired-difference CI; no significance claim for a delta. Raw layer; operating point is the recorded P104 comparator rule, not a final clinical threshold.",D:\Codex_分拆Prompt嚴格無到院\outputs\v2\.p104rv\sweep_20260906T191424Z_account-02_v2\t0\r,8a972d3db8911f62d8dae569c10c78263ff3f865ca792d45e99790b85c8870fe,D:\Codex_分拆Prompt嚴格無到院\outputs\v2\.p104k10\cloud_validation_index_20260906T211456Z\task_medicine__P1__dnr_dnr_blind_validation.json,bed04ff947ff488ea9c99e81a836d3a145973c8ec8c603565520e73cff13c531
medicine__P1__dnr_dnr_blind,medicine,P1,dnr,dnr_blind,dnr_blind / all_comer_reference,all_comer_reference,validation_2024,RAW_LOCKED_BASE_PREDICTIONS,raw,VALIDATED_COMPUTED,Full locked input feature order,d5d5e2d8a0734a0ce9af97a6606994868307c154f09eee30ee788ada6108d568,764,"0.940944 [0.920022, 0.960339]","0.467949 [0.371741, 0.574062]",4770,98,0.9409443143695834,0.9200218766074194,0.9603393163085924,0.4679488387265004,0.3717407645458378,0.5740617628195529,0.01465681669691664,0.013253972707242656,0.0159862104472889,0.23931623931623933,0.0018867924528301887,0.5,0.5,0.5,0.14285714285714285,0.998929794520548,0.7368421052631579,0.9823195116817512,14,5,4667,84,ESTIMATED,ESTIMATED,ESTIMATED,c0ef85bd79b7e079a58a21aab89269df84d4b7d6cddbdcd8467aa3d5cf4abe78,"Descriptive arm estimate. CI is an individual-arm CI, not a paired-difference CI; no significance claim for a delta. Raw layer; operating point is the recorded P104 comparator rule, not a final clinical threshold.",D:\Codex_分拆Prompt嚴格無到院\outputs\v2\.p104rv\sweep_20260906T191424Z_account-02_v2\t0\r,8a972d3db8911f62d8dae569c10c78263ff3f865ca792d45e99790b85c8870fe,D:\Codex_分拆Prompt嚴格無到院\outputs\v2\.p104k10\cloud_validation_index_20260906T211456Z\task_medicine__P1__dnr_dnr_blind_validation.json,bed04ff947ff488ea9c99e81a836d3a145973c8ec8c603565520e73cff13c531
medicine__P1__dnr_dnr_blind,medicine,P1,dnr,dnr_blind,dnr_blind / dnr_blind,dnr_blind,oof_2020_2023,RAW_LOCKED_BASE_PREDICTIONS,raw,VALIDATED_COMPUTED,Source-defined DNR-blind predictor exclusions; cohort rule shown by analysis,256f07d8ea37e6334079986b99af35bea86c951b1f4087c6f87db74e142bf8c0,756,"0.890348 [0.859987, 0.916362]","0.180911 [0.120889, 0.253461]",15995,129,0.8903476499403432,0.8599867659421693,0.9163619485919644,0.18091093283358572,0.12088908682603376,0.25346080363567236,0.007265829699330519,0.006869040757694921,0.007678956922897226,0.13513513513513514,6.251953735542357e-05,0.5,0.5,0.5,0.07751937984496124,0.9994327492751797,0.5263157894736842,0.9925513269904858,10,9,15857,119,ESTIMATED,ESTIMATED,ESTIMATED,aafed358290fb1154988f8565e7fefcd0d493e5645a9235d8bffd54e199f8913,"Descriptive arm estimate. CI is an individual-arm CI, not a paired-difference CI; no significance claim for a delta. Raw layer; operating point is the recorded P104 comparator rule, not a final clinical threshold.",D:\Codex_分拆Prompt嚴格無到院\outputs\v2\.p104rv\sweep_20260906T191424Z_account-02_v2\t0\r,8a972d3db8911f62d8dae569c10c78263ff3f865ca792d45e99790b85c8870fe,D:\Codex_分拆Prompt嚴格無到院\outputs\v2\.p104k10\cloud_validation_index_20260906T211456Z\task_medicine__P1__dnr_dnr_blind_validation.json,bed04ff947ff488ea9c99e81a836d3a145973c8ec8c603565520e73cff13c531
medicine__P1__dnr_dnr_blind,medicine,P1,dnr,dnr_blind,dnr_blind / dnr_blind,dnr_blind,validation_2024,RAW_LOCKED_BASE_PREDICTIONS,raw,VALIDATED_COMPUTED,Source-defined DNR-blind predictor exclusions; cohort rule shown by analysis,256f07d8ea37e6334079986b99af35bea86c951b1f4087c6f87db74e142bf8c0,756,"0.939282 [0.915654, 0.95854]","0.43115 [0.336525, 0.537121]",4770,98,0.9392822197372099,0.91565387774998,0.9585402460572381,0.4311504671162685,0.3365250752657849,0.5371209882744188,0.015251259615813653,0.014017932307054552,0.016545484515452295,0.19298245614035087,0.0012578616352201257,0.5,0.5,0.5,0.11224489795918367,0.998929794520548,0.6875,0.9816996213714767,11,5,4667,87,ESTIMATED,ESTIMATED,ESTIMATED,c0ef85bd79b7e079a58a21aab89269df84d4b7d6cddbdcd8467aa3d5cf4abe78,"Descriptive arm estimate. CI is an individual-arm CI, not a paired-difference CI; no significance claim for a delta. Raw layer; operating point is the recorded P104 comparator rule, not a final clinical threshold.",D:\Codex_分拆Prompt嚴格無到院\outputs\v2\.p104rv\sweep_20260906T191424Z_account-02_v2\t0\r,8a972d3db8911f62d8dae569c10c78263ff3f865ca792d45e99790b85c8870fe,D:\Codex_分拆Prompt嚴格無到院\outputs\v2\.p104k10\cloud_validation_index_20260906T211456Z\task_medicine__P1__dnr_dnr_blind_validation.json,bed04ff947ff488ea9c99e81a836d3a145973c8ec8c603565520e73cff13c531
medicine__P1__dnr_temporally_clean_exclusion,medicine,P1,dnr,temporally_clean_exclusion,temporally_clean_exclusion / all_comer_reference,all_comer_reference,oof_2020_2023,RAW_LOCKED_BASE_PREDICTIONS,raw,VALIDATED_COMPUTED,Full locked input feature order,d5d5e2d8a0734a0ce9af97a6606994868307c154f09eee30ee788ada6108d568,764,"0.89465 [0.867537, 0.919668]","0.196083 [0.133819, 0.27299]",15995,129,0.8946501562993168,0.8675373184082982,0.9196676134289921,0.1960832756094135,0.1338185263814605,0.27298951321460646,0.007160918010070117,0.006743094431497487,0.007552017379769969,0.12162162162162163,-6.251953735542357e-05,0.5,0.5,0.5,0.06976744186046512,0.9993697214168663,0.47368421052631576,0.9924887330996495,9,10,15856,120,ESTIMATED,ESTIMATED,ESTIMATED,aafed358290fb1154988f8565e7fefcd0d493e5645a9235d8bffd54e199f8913,"Descriptive arm estimate. CI is an individual-arm CI, not a paired-difference CI; no significance claim for a delta. Raw layer; operating point is the recorded P104 comparator rule, not a final clinical threshold.",D:\Codex_分拆Prompt嚴格無到院\outputs\v2\.p104rv\sweep_20260906T171453Z_account-03_v2\t0\r,4555b33c719c47366b05736b8962e59837d309102bb42d3b1a808aefe5ddf10e,D:\Codex_分拆Prompt嚴格無到院\outputs\v2\.p104k10\cloud_validation_index_20260906T211456Z\task_medicine__P1__dnr_temporally_clean_exclusion_validation.json,1a7865f415039ff70c7dfe276e6f156062d9d5221afecea5b38a689c49d8178e
medicine__P1__dnr_temporally_clean_exclusion,medicine,P1,dnr,temporally_clean_exclusion,temporally_clean_exclusion / all_comer_reference,all_comer_reference,validation_2024,RAW_LOCKED_BASE_PREDICTIONS,raw,VALIDATED_COMPUTED,Full locked input feature order,d5d5e2d8a0734a0ce9af97a6606994868307c154f09eee30ee788ada6108d568,764,"0.940944 [0.920022, 0.960339]","0.467949 [0.371741, 0.574062]",4770,98,0.9409443143695834,0.9200218766074194,0.9603393163085924,0.4679488387265004,0.3717407645458378,0.5740617628195529,0.01465681669691664,0.013253972707242656,0.0159862104472889,0.23931623931623933,0.0018867924528301887,0.5,0.5,0.5,0.14285714285714285,0.998929794520548,0.7368421052631579,0.9823195116817512,14,5,4667,84,ESTIMATED,ESTIMATED,ESTIMATED,c0ef85bd79b7e079a58a21aab89269df84d4b7d6cddbdcd8467aa3d5cf4abe78,"Descriptive arm estimate. CI is an individual-arm CI, not a paired-difference CI; no significance claim for a delta. Raw layer; operating point is the recorded P104 comparator rule, not a final clinical threshold.",D:\Codex_分拆Prompt嚴格無到院\outputs\v2\.p104rv\sweep_20260906T171453Z_account-03_v2\t0\r,4555b33c719c47366b05736b8962e59837d309102bb42d3b1a808aefe5ddf10e,D:\Codex_分拆Prompt嚴格無到院\outputs\v2\.p104k10\cloud_validation_index_20260906T211456Z\task_medicine__P1__dnr_temporally_clean_exclusion_validation.json,1a7865f415039ff70c7dfe276e6f156062d9d5221afecea5b38a689c49d8178e
medicine__P1__dnr_temporally_clean_exclusion,medicine,P1,dnr,temporally_clean_exclusion,temporally_clean_exclusion / temporally_clean_exclusion,temporally_clean_exclusion,oof_2020_2023,RAW_LOCKED_BASE_PREDICTIONS,raw,VALIDATED_COMPUTED,Source-defined DNR-blind predictor exclusions; cohort rule shown by analysis,256f07d8ea37e6334079986b99af35bea86c951b1f4087c6f87db74e142bf8c0,756,"0.893799 [0.863759, 0.919418]","0.167379 [0.116829, 0.243489]",15993,129,0.89379884053212,0.8637592861863502,0.9194183776669883,0.16737900869160452,0.11682905992617874,0.24348927986324315,0.007286429664239326,0.006908884390548108,0.007672085407072363,0.11188811188811189,0.00012505471143625337,0.5,0.5,0.5,0.06201550387596899,0.9996217851739788,0.5714285714285714,0.992427561174041,8,6,15858,121,ESTIMATED,ESTIMATED,ESTIMATED,419e30c4c7d7da5e9d353a69610e1a72d04a76adb712a1596e165b9a3be348bb,"Descriptive arm estimate. CI is an individual-arm CI, not a paired-difference CI; no significance claim for a delta. Raw layer; operating point is the recorded P104 comparator rule, not a final clinical threshold.",D:\Codex_分拆Prompt嚴格無到院\outputs\v2\.p104rv\sweep_20260906T171453Z_account-03_v2\t0\r,4555b33c719c47366b05736b8962e59837d309102bb42d3b1a808aefe5ddf10e,D:\Codex_分拆Prompt嚴格無到院\outputs\v2\.p104k10\cloud_validation_index_20260906T211456Z\task_medicine__P1__dnr_temporally_clean_exclusion_validation.json,1a7865f415039ff70c7dfe276e6f156062d9d5221afecea5b38a689c49d8178e
medicine__P1__dnr_temporally_clean_exclusion,medicine,P1,dnr,temporally_clean_exclusion,temporally_clean_exclusion / temporally_clean_exclusion,temporally_clean_exclusion,validation_2024,RAW_LOCKED_BASE_PREDICTIONS,raw,VALIDATED_COMPUTED,Source-defined DNR-blind predictor exclusions; cohort rule shown by analysis,256f07d8ea37e6334079986b99af35bea86c951b1f4087c6f87db74e142bf8c0,756,"0.941778 [0.920396, 0.961347]","0.405318 [0.317745, 0.519426]",4768,98,0.9417777389328322,0.9203955039414901,0.9613466627672511,0.4053183457115151,0.31774535616568905,0.519426330723135,0.015549810045772836,0.014318623788376091,0.016838826782349846,0.17699115044247787,0.0010486577181208054,0.5,0.5,0.5,0.10204081632653061,0.9989293361884368,0.6666666666666666,0.9814853776562171,10,5,4665,88,ESTIMATED,ESTIMATED,ESTIMATED,66a18a70b06d948ad812f93f599c8aa03c14cba14000da5ae66dcbf549086d9c,"Descriptive arm estimate. CI is an individual-arm CI, not a paired-difference CI; no significance claim for a delta. Raw layer; operating point is the recorded P104 comparator rule, not a final clinical threshold.",D:\Codex_分拆Prompt嚴格無到院\outputs\v2\.p104rv\sweep_20260906T171453Z_account-03_v2\t0\r,4555b33c719c47366b05736b8962e59837d309102bb42d3b1a808aefe5ddf10e,D:\Codex_分拆Prompt嚴格無到院\outputs\v2\.p104k10\cloud_validation_index_20260906T211456Z\task_medicine__P1__dnr_temporally_clean_exclusion_validation.json,1a7865f415039ff70c7dfe276e6f156062d9d5221afecea5b38a689c49d8178e
medicine__P1__dnr_broad_exclusion,medicine,P1,dnr,broad_exclusion,broad_exclusion / all_comer_reference,all_comer_reference,oof_2020_2023,RAW_LOCKED_BASE_PREDICTIONS,raw,VALIDATED_COMPUTED,Full locked input feature order,d5d5e2d8a0734a0ce9af97a6606994868307c154f09eee30ee788ada6108d568,764,"0.89465 [0.867537, 0.919668]","0.196083 [0.133819, 0.27299]",15995,129,0.8946501562993168,0.8675373184082982,0.9196676134289921,0.1960832756094135,0.1338185263814605,0.27298951321460646,0.007160918010070117,0.006743094431497487,0.007552017379769969,0.12162162162162163,-6.251953735542357e-05,0.5,0.5,0.5,0.06976744186046512,0.9993697214168663,0.47368421052631576,0.9924887330996495,9,10,15856,120,ESTIMATED,ESTIMATED,ESTIMATED,aafed358290fb1154988f8565e7fefcd0d493e5645a9235d8bffd54e199f8913,"Descriptive arm estimate. CI is an individual-arm CI, not a paired-difference CI; no significance claim for a delta. Raw layer; operating point is the recorded P104 comparator rule, not a final clinical threshold. Broad DNR may include post-index records; sensitivity only.",D:\Codex_分拆Prompt嚴格無到院\outputs\v2\.p104rv\sweep_20260906T211456Z_account-01_v2\t0\r,17bd577910616c216a1bdd691ed2dd6f5d3473d64334097ccc470812752ca091,D:\Codex_分拆Prompt嚴格無到院\outputs\v2\.p104k10\cloud_validation_index_20260906T211456Z\task_medicine__P1__dnr_broad_exclusion_validation.json,a6b1d5f0dc1897fed5b69eb55ab70958c1d758006dfd85a293645d7389bcd624
medicine__P1__dnr_broad_exclusion,medicine,P1,dnr,broad_exclusion,broad_exclusion / all_comer_reference,all_comer_reference,validation_2024,RAW_LOCKED_BASE_PREDICTIONS,raw,VALIDATED_COMPUTED,Full locked input feature order,d5d5e2d8a0734a0ce9af97a6606994868307c154f09eee30ee788ada6108d568,764,"0.940944 [0.920022, 0.960339]","0.467949 [0.371741, 0.574062]",4770,98,0.9409443143695834,0.9200218766074194,0.9603393163085924,0.4679488387265004,0.3717407645458378,0.5740617628195529,0.01465681669691664,0.013253972707242656,0.0159862104472889,0.23931623931623933,0.0018867924528301887,0.5,0.5,0.5,0.14285714285714285,0.998929794520548,0.7368421052631579,0.9823195116817512,14,5,4667,84,ESTIMATED,ESTIMATED,ESTIMATED,c0ef85bd79b7e079a58a21aab89269df84d4b7d6cddbdcd8467aa3d5cf4abe78,"Descriptive arm estimate. CI is an individual-arm CI, not a paired-difference CI; no significance claim for a delta. Raw layer; operating point is the recorded P104 comparator rule, not a final clinical threshold. Broad DNR may include post-index records; sensitivity only.",D:\Codex_分拆Prompt嚴格無到院\outputs\v2\.p104rv\sweep_20260906T211456Z_account-01_v2\t0\r,17bd577910616c216a1bdd691ed2dd6f5d3473d64334097ccc470812752ca091,D:\Codex_分拆Prompt嚴格無到院\outputs\v2\.p104k10\cloud_validation_index_20260906T211456Z\task_medicine__P1__dnr_broad_exclusion_validation.json,a6b1d5f0dc1897fed5b69eb55ab70958c1d758006dfd85a293645d7389bcd624
