task_id,group,outcome,kind,analysis,Experiment,arm,split,probability_layer,presentation,completion_status,Features included,feature_set_id,feature_count,AUROC[CI],AUPRC[CI],N,events,AUROC,AUROC_lower_ci,AUROC_upper_ci,AUPRC,AUPRC_lower_ci,AUPRC_upper_ci,Brier,Brier_lower_ci,Brier_upper_ci,F1,net benefit,threshold_mean,threshold_min,threshold_max,sensitivity,specificity,PPV,NPV,TP,FP,TN,FN,AUROC_status,AUPRC_status,Brier_status,cohort_identity_sha256,Interpretation,source_result_root,source_result_receipt_sha256,source_validation_path,source_validation_sha256
medicine__P1__01_standardization,medicine,P1,ablation,01_standardization,01_standardization / logistic_scaled,logistic_scaled,oof_2020_2023,RAW_RECORDED_PREDICTIONS,raw,VALIDATED_COMPUTED,Full locked input feature order,d5d5e2d8a0734a0ce9af97a6606994868307c154f09eee30ee788ada6108d568,764,"0.775301 [0.72714, 0.820577]","0.0770751 [0.0489308, 0.124218]",15995,129,0.7753007992323304,0.7271399455900899,0.820576967014835,0.07707511625567662,0.04893082868653168,0.12421760178910542,0.05015002208191625,0.047181855293197905,0.05329359044360411,0.09247506799637353,-0.05451703657392935,0.5,0.5,0.5,0.3953488372093023,0.9418252867767554,0.052361396303901436,0.9948072698222489,51,923,14943,78,ESTIMATED,ESTIMATED,ESTIMATED,aafed358290fb1154988f8565e7fefcd0d493e5645a9235d8bffd54e199f8913,"Descriptive arm estimate. CI is an individual-arm CI, not a paired-difference CI; no significance claim for a delta. Raw layer; operating point is the recorded P104 comparator rule, not a final clinical threshold.",D:\Codex_分拆Prompt嚴格無到院\outputs\v2\specialty_opname_v1\p1_04_extension_20260905\runs\medicine__P1__01_standardization,3eab36eb492db27b9057f2aebc919674eabdbd292c46ce62b5ced2ea5315b88a,D:\Codex_分拆Prompt嚴格無到院\outputs\v2\specialty_opname_v1\p1_04_extension_20260905\local_dispatch_full\validations\medicine__P1__01_standardization\3eab36eb492db27b_3c510f4d0008.report.json,486199d88a34e8249b287058ba7e0ebdae34300cbc60826aa200e153d342f083
medicine__P1__01_standardization,medicine,P1,ablation,01_standardization,01_standardization / logistic_scaled,logistic_scaled,validation_2024,RAW_RECORDED_PREDICTIONS,raw,VALIDATED_COMPUTED,Full locked input feature order,d5d5e2d8a0734a0ce9af97a6606994868307c154f09eee30ee788ada6108d568,764,"0.776359 [0.722867, 0.827674]","0.238927 [0.163113, 0.334959]",4770,98,0.7763587241403411,0.7228670277467134,0.8276741223517636,0.23892707291783302,0.16311329118573908,0.3349586543128529,0.06952417217504286,0.06349038473792548,0.07569022455456802,0.1889763779527559,-0.06582809224318659,0.5,0.5,0.5,0.4897959183673469,0.9225171232876712,0.11707317073170732,0.9885321100917431,48,362,4310,50,ESTIMATED,ESTIMATED,ESTIMATED,c0ef85bd79b7e079a58a21aab89269df84d4b7d6cddbdcd8467aa3d5cf4abe78,"Descriptive arm estimate. CI is an individual-arm CI, not a paired-difference CI; no significance claim for a delta. Raw layer; operating point is the recorded P104 comparator rule, not a final clinical threshold.",D:\Codex_分拆Prompt嚴格無到院\outputs\v2\specialty_opname_v1\p1_04_extension_20260905\runs\medicine__P1__01_standardization,3eab36eb492db27b9057f2aebc919674eabdbd292c46ce62b5ced2ea5315b88a,D:\Codex_分拆Prompt嚴格無到院\outputs\v2\specialty_opname_v1\p1_04_extension_20260905\local_dispatch_full\validations\medicine__P1__01_standardization\3eab36eb492db27b_3c510f4d0008.report.json,486199d88a34e8249b287058ba7e0ebdae34300cbc60826aa200e153d342f083
medicine__P1__01_standardization,medicine,P1,ablation,01_standardization,01_standardization / logistic_unscaled,logistic_unscaled,oof_2020_2023,RAW_RECORDED_PREDICTIONS,raw,VALIDATED_COMPUTED,Full locked input feature order,d5d5e2d8a0734a0ce9af97a6606994868307c154f09eee30ee788ada6108d568,764,"0.823927 [0.784418, 0.862081]","0.089266 [0.0618406, 0.140827]",15995,129,0.8239270362151234,0.7844175963751318,0.8620813107335192,0.08926598194325758,0.06184059707624381,0.14082650902415364,0.053372995877771064,0.050226740860033904,0.05640348359053727,0.09727947238252267,-0.06039387308533917,0.5,0.5,0.5,0.4573643410852713,0.9353964452287912,0.0544280442804428,0.995305479176447,59,1025,14841,70,ESTIMATED,ESTIMATED,ESTIMATED,aafed358290fb1154988f8565e7fefcd0d493e5645a9235d8bffd54e199f8913,"Descriptive arm estimate. CI is an individual-arm CI, not a paired-difference CI; no significance claim for a delta. Raw layer; operating point is the recorded P104 comparator rule, not a final clinical threshold.",D:\Codex_分拆Prompt嚴格無到院\outputs\v2\specialty_opname_v1\p1_04_extension_20260905\runs\medicine__P1__01_standardization,3eab36eb492db27b9057f2aebc919674eabdbd292c46ce62b5ced2ea5315b88a,D:\Codex_分拆Prompt嚴格無到院\outputs\v2\specialty_opname_v1\p1_04_extension_20260905\local_dispatch_full\validations\medicine__P1__01_standardization\3eab36eb492db27b_3c510f4d0008.report.json,486199d88a34e8249b287058ba7e0ebdae34300cbc60826aa200e153d342f083
medicine__P1__01_standardization,medicine,P1,ablation,01_standardization,01_standardization / logistic_unscaled,logistic_unscaled,validation_2024,RAW_RECORDED_PREDICTIONS,raw,VALIDATED_COMPUTED,Full locked input feature order,d5d5e2d8a0734a0ce9af97a6606994868307c154f09eee30ee788ada6108d568,764,"0.836141 [0.783417, 0.883723]","0.305051 [0.218348, 0.409764]",4770,98,0.8361406206318145,0.7834167083067071,0.8837229360709598,0.3050511924141503,0.21834848695040818,0.4097636688473616,0.0720494703418402,0.06627107332540334,0.07811801354434637,0.21454545454545454,-0.070020964360587,0.5,0.5,0.5,0.6020408163265306,0.9158818493150684,0.13053097345132744,0.990968040759611,59,393,4279,39,ESTIMATED,ESTIMATED,ESTIMATED,c0ef85bd79b7e079a58a21aab89269df84d4b7d6cddbdcd8467aa3d5cf4abe78,"Descriptive arm estimate. CI is an individual-arm CI, not a paired-difference CI; no significance claim for a delta. Raw layer; operating point is the recorded P104 comparator rule, not a final clinical threshold.",D:\Codex_分拆Prompt嚴格無到院\outputs\v2\specialty_opname_v1\p1_04_extension_20260905\runs\medicine__P1__01_standardization,3eab36eb492db27b9057f2aebc919674eabdbd292c46ce62b5ced2ea5315b88a,D:\Codex_分拆Prompt嚴格無到院\outputs\v2\specialty_opname_v1\p1_04_extension_20260905\local_dispatch_full\validations\medicine__P1__01_standardization\3eab36eb492db27b_3c510f4d0008.report.json,486199d88a34e8249b287058ba7e0ebdae34300cbc60826aa200e153d342f083
medicine__P1__01_standardization,medicine,P1,ablation,01_standardization,01_standardization / logistic_scaled__platt,logistic_scaled__platt,oof_2020_2023,DEVELOPMENT_OOF_SELECTED_CALIBRATION,calibrated/medicine__P1__01_standardization_v1,VALIDATED_COMPUTED,Full locked input feature order,d5d5e2d8a0734a0ce9af97a6606994868307c154f09eee30ee788ada6108d568,764,"0.769471 [0.719931, 0.817848]","0.0748313 [0.0488746, 0.124307]",15995,129,0.7694714552204166,0.7199312425653154,0.8178477766497992,0.07483131838182366,0.04887457622908798,0.1243074717965558,0.00773547817643005,0.007563093896380308,0.007905957224167301,0.03679476696647588,0.0033969490707625926,0.007574502232900559,0.007574502232900561,0.007574502232900561,0.6976744186046512,0.705470818101601,0.018895653999580098,0.9965277777777778,90,4673,11193,39,ESTIMATED,ESTIMATED,ESTIMATED,aafed358290fb1154988f8565e7fefcd0d493e5645a9235d8bffd54e199f8913,"Descriptive arm estimate. CI is an individual-arm CI, not a paired-difference CI; no significance claim for a delta. Additional development-OOF-selected calibration/threshold presentation; original raw layer retained.",D:\Codex_分拆Prompt嚴格無到院\outputs\v2\specialty_opname_v1\p1_04_extension_20260905\calibrated\medicine__P1__01_standardization_v1,3782d0875ba90514721e6fff5c476bdcb5ed505db1406deac1bb57a629c9d988,D:\Codex_分拆Prompt嚴格無到院\outputs\v2\specialty_opname_v1\p1_04_extension_20260905\review\medicine_p1_standardization_calibrated_validation.json,25eec32377ef79b523d001c21b477be77474d312e9d60853a75fdb3a94972d0b
medicine__P1__01_standardization,medicine,P1,ablation,01_standardization,01_standardization / logistic_scaled__platt,logistic_scaled__platt,validation_2024,DEVELOPMENT_OOF_SELECTED_CALIBRATION,calibrated/medicine__P1__01_standardization_v1,VALIDATED_COMPUTED,Full locked input feature order,d5d5e2d8a0734a0ce9af97a6606994868307c154f09eee30ee788ada6108d568,764,"0.776359 [0.721216, 0.829186]","0.238927 [0.160842, 0.340349]",4770,98,0.7763587241403411,0.7212162283279587,0.8291856636484107,0.23892707291783302,0.16084181460741478,0.34034898656976986,0.018156394835803384,0.01735270329720496,0.01891155762581258,0.07543103448275862,0.011974141573946537,0.007574502232900561,0.007574502232900561,0.007574502232900561,0.7142857142857143,0.6386986301369864,0.03981797497155859,0.9907038512616202,70,1688,2984,28,ESTIMATED,ESTIMATED,ESTIMATED,c0ef85bd79b7e079a58a21aab89269df84d4b7d6cddbdcd8467aa3d5cf4abe78,"Descriptive arm estimate. CI is an individual-arm CI, not a paired-difference CI; no significance claim for a delta. Additional development-OOF-selected calibration/threshold presentation; original raw layer retained.",D:\Codex_分拆Prompt嚴格無到院\outputs\v2\specialty_opname_v1\p1_04_extension_20260905\calibrated\medicine__P1__01_standardization_v1,3782d0875ba90514721e6fff5c476bdcb5ed505db1406deac1bb57a629c9d988,D:\Codex_分拆Prompt嚴格無到院\outputs\v2\specialty_opname_v1\p1_04_extension_20260905\review\medicine_p1_standardization_calibrated_validation.json,25eec32377ef79b523d001c21b477be77474d312e9d60853a75fdb3a94972d0b
medicine__P1__01_standardization,medicine,P1,ablation,01_standardization,01_standardization / logistic_unscaled__platt,logistic_unscaled__platt,oof_2020_2023,DEVELOPMENT_OOF_SELECTED_CALIBRATION,calibrated/medicine__P1__01_standardization_v1,VALIDATED_COMPUTED,Full locked input feature order,d5d5e2d8a0734a0ce9af97a6606994868307c154f09eee30ee788ada6108d568,764,"0.819281 [0.776373, 0.858347]","0.0865558 [0.0590542, 0.134843]",15995,129,0.8192805638696956,0.776373279938142,0.8583470726349947,0.08655579993397934,0.05905419390512823,0.1348425825096358,0.007691727966173143,0.00747330535560241,0.007898577901954485,0.04378563283922463,0.004022370014948533,0.007553612424747932,0.007553612424747932,0.007553612424747932,0.7441860465116279,0.737804109416362,0.022556390977443608,0.9971888576539739,96,4160,11706,33,ESTIMATED,ESTIMATED,ESTIMATED,aafed358290fb1154988f8565e7fefcd0d493e5645a9235d8bffd54e199f8913,"Descriptive arm estimate. CI is an individual-arm CI, not a paired-difference CI; no significance claim for a delta. Additional development-OOF-selected calibration/threshold presentation; original raw layer retained.",D:\Codex_分拆Prompt嚴格無到院\outputs\v2\specialty_opname_v1\p1_04_extension_20260905\calibrated\medicine__P1__01_standardization_v1,3782d0875ba90514721e6fff5c476bdcb5ed505db1406deac1bb57a629c9d988,D:\Codex_分拆Prompt嚴格無到院\outputs\v2\specialty_opname_v1\p1_04_extension_20260905\review\medicine_p1_standardization_calibrated_validation.json,25eec32377ef79b523d001c21b477be77474d312e9d60853a75fdb3a94972d0b
medicine__P1__01_standardization,medicine,P1,ablation,01_standardization,01_standardization / logistic_unscaled__platt,logistic_unscaled__platt,validation_2024,DEVELOPMENT_OOF_SELECTED_CALIBRATION,calibrated/medicine__P1__01_standardization_v1,VALIDATED_COMPUTED,Full locked input feature order,d5d5e2d8a0734a0ce9af97a6606994868307c154f09eee30ee788ada6108d568,764,"0.836141 [0.786682, 0.882857]","0.305051 [0.22, 0.403513]",4770,98,0.8361406206318145,0.786682204850122,0.8828566467488603,0.3050511924141503,0.2199996816938924,0.4035128501062228,0.01726887195937006,0.0162675712015376,0.018243389079727494,0.0936936936936937,0.013976324216425405,0.007553612424747931,0.007553612424747932,0.007553612424747932,0.7959183673469388,0.681292808219178,0.04977664326738992,0.993755853886981,78,1489,3183,20,ESTIMATED,ESTIMATED,ESTIMATED,c0ef85bd79b7e079a58a21aab89269df84d4b7d6cddbdcd8467aa3d5cf4abe78,"Descriptive arm estimate. CI is an individual-arm CI, not a paired-difference CI; no significance claim for a delta. Additional development-OOF-selected calibration/threshold presentation; original raw layer retained.",D:\Codex_分拆Prompt嚴格無到院\outputs\v2\specialty_opname_v1\p1_04_extension_20260905\calibrated\medicine__P1__01_standardization_v1,3782d0875ba90514721e6fff5c476bdcb5ed505db1406deac1bb57a629c9d988,D:\Codex_分拆Prompt嚴格無到院\outputs\v2\specialty_opname_v1\p1_04_extension_20260905\review\medicine_p1_standardization_calibrated_validation.json,25eec32377ef79b523d001c21b477be77474d312e9d60853a75fdb3a94972d0b
medicine__P1__02_time_variables,medicine,P1,ablation,02_time_variables,02_time_variables / locked_full,locked_full,oof_2020_2023,RAW_RECORDED_PREDICTIONS,raw,VALIDATED_COMPUTED,Full locked input feature order,d5d5e2d8a0734a0ce9af97a6606994868307c154f09eee30ee788ada6108d568,764,"0.89465 [0.869383, 0.920223]","0.196083 [0.137958, 0.272453]",15995,129,0.8946501562993168,0.8693829267612628,0.9202225041997407,0.1960832756094135,0.1379581677859856,0.27245318350790043,0.007160918010070117,0.006751415348873352,0.0075507848468052904,0.12162162162162163,-6.251953735542357e-05,0.5,0.5,0.5,0.06976744186046512,0.9993697214168663,0.47368421052631576,0.9924887330996495,9,10,15856,120,ESTIMATED,ESTIMATED,ESTIMATED,aafed358290fb1154988f8565e7fefcd0d493e5645a9235d8bffd54e199f8913,"Descriptive arm estimate. CI is an individual-arm CI, not a paired-difference CI; no significance claim for a delta. Raw layer; operating point is the recorded P104 comparator rule, not a final clinical threshold. Primary amended time contrast uses the exact corrected plan; old20 results are secondary evidence only.",D:\Codex_分拆Prompt嚴格無到院\outputs\v2\specialty_opname_v1\time_interval_complete_successor_20260905\runs\medicine__P1__02_time_variables,8469f387dd59341555094796db7e309fdb46a9cb631498cb33c28e5e29a4c9c3,D:\Codex_分拆Prompt嚴格無到院\outputs\v2\specialty_opname_v1\time_interval_complete_successor_20260905\runs\medicine__P1__02_time_variables\validation_report.json,f4fb237280aff7e864df99d4e73288fc2b4e2de2f4836d539c819d3739d05151
medicine__P1__02_time_variables,medicine,P1,ablation,02_time_variables,02_time_variables / locked_full,locked_full,validation_2024,RAW_RECORDED_PREDICTIONS,raw,VALIDATED_COMPUTED,Full locked input feature order,d5d5e2d8a0734a0ce9af97a6606994868307c154f09eee30ee788ada6108d568,764,"0.940944 [0.920427, 0.960663]","0.467949 [0.369157, 0.571382]",4770,98,0.9409443143695834,0.9204271175726058,0.9606632830671195,0.4679488387265004,0.36915668352747816,0.5713820025906522,0.01465681669691664,0.01327445115177923,0.01599635745953109,0.23931623931623933,0.0018867924528301887,0.5,0.5,0.5,0.14285714285714285,0.998929794520548,0.7368421052631579,0.9823195116817512,14,5,4667,84,ESTIMATED,ESTIMATED,ESTIMATED,c0ef85bd79b7e079a58a21aab89269df84d4b7d6cddbdcd8467aa3d5cf4abe78,"Descriptive arm estimate. CI is an individual-arm CI, not a paired-difference CI; no significance claim for a delta. Raw layer; operating point is the recorded P104 comparator rule, not a final clinical threshold. Primary amended time contrast uses the exact corrected plan; old20 results are secondary evidence only.",D:\Codex_分拆Prompt嚴格無到院\outputs\v2\specialty_opname_v1\time_interval_complete_successor_20260905\runs\medicine__P1__02_time_variables,8469f387dd59341555094796db7e309fdb46a9cb631498cb33c28e5e29a4c9c3,D:\Codex_分拆Prompt嚴格無到院\outputs\v2\specialty_opname_v1\time_interval_complete_successor_20260905\runs\medicine__P1__02_time_variables\validation_report.json,f4fb237280aff7e864df99d4e73288fc2b4e2de2f4836d539c819d3739d05151
