task_id,group,outcome,kind,analysis,Experiment,arm,split,probability_layer,presentation,completion_status,Features included,feature_set_id,feature_count,AUROC[CI],AUPRC[CI],N,events,AUROC,AUROC_lower_ci,AUROC_upper_ci,AUPRC,AUPRC_lower_ci,AUPRC_upper_ci,Brier,Brier_lower_ci,Brier_upper_ci,F1,net benefit,threshold_mean,threshold_min,threshold_max,sensitivity,specificity,PPV,NPV,TP,FP,TN,FN,AUROC_status,AUPRC_status,Brier_status,cohort_identity_sha256,Interpretation,source_result_root,source_result_receipt_sha256,source_validation_path,source_validation_sha256
medicine__P1__grouped_vs_naive_cv,medicine,P1,sensitivity,grouped_vs_naive_cv,grouped_vs_naive_cv / naive_row_stratified,naive_row_stratified,oof_2020_2023,RAW_LOCKED_BASE_PREDICTIONS,raw,VALIDATED_COMPUTED,Full locked input feature order,d5d5e2d8a0734a0ce9af97a6606994868307c154f09eee30ee788ada6108d568,764,"0.896186 [0.867164, 0.922613]","0.183819 [0.124364, 0.259832]",15995,129,0.8961857885371382,0.8671642608186569,0.9226134696599252,0.1838194367438772,0.12436434660463497,0.25983230854541794,0.007227363466562813,0.006794166322179259,0.007617866348521159,0.14864864864864866,0.0001875586120662707,0.5,0.5,0.5,0.08527131782945736,0.999495777133493,0.5789473684210527,0.9926139208813219,11,8,15858,118,ESTIMATED,ESTIMATED,ESTIMATED,aafed358290fb1154988f8565e7fefcd0d493e5645a9235d8bffd54e199f8913,"Descriptive arm estimate. CI is an individual-arm CI, not a paired-difference CI; no significance claim for a delta. Raw layer; operating point is the recorded P104 comparator rule, not a final clinical threshold.",D:\Codex_分拆Prompt嚴格無到院\outputs\v2\.p104rv\sweep_20260906T151250Z_account-06_v2\t1\r,2ab1c972f5e42064c2c2cc7ff5689cdcaca87f0cd868cee9eabf89a66b4b610b,D:\Codex_分拆Prompt嚴格無到院\outputs\v2\.p104k10\cloud_validation_index_20260906T211456Z\task_medicine__P1__grouped_vs_naive_cv_validation.json,79e8f426869212edb0486b4ddfc998ae175f5257a28fe81ee56f76df6365ffc0
medicine__P1__grouped_vs_naive_cv,medicine,P1,sensitivity,grouped_vs_naive_cv,grouped_vs_naive_cv / naive_row_stratified,naive_row_stratified,validation_2024,RAW_LOCKED_BASE_PREDICTIONS,raw,VALIDATED_COMPUTED,Full locked input feature order,d5d5e2d8a0734a0ce9af97a6606994868307c154f09eee30ee788ada6108d568,764,"0.940944 [0.920148, 0.959639]","0.467949 [0.373238, 0.574141]",4770,98,0.9409443143695834,0.9201478043871529,0.9596386068665739,0.4679488387265004,0.3732375398912062,0.5741413272508896,0.01465681669691664,0.013319786076589853,0.016000380261442054,0.23931623931623933,0.0018867924528301887,0.5,0.5,0.5,0.14285714285714285,0.998929794520548,0.7368421052631579,0.9823195116817512,14,5,4667,84,ESTIMATED,ESTIMATED,ESTIMATED,c0ef85bd79b7e079a58a21aab89269df84d4b7d6cddbdcd8467aa3d5cf4abe78,"Descriptive arm estimate. CI is an individual-arm CI, not a paired-difference CI; no significance claim for a delta. Raw layer; operating point is the recorded P104 comparator rule, not a final clinical threshold.",D:\Codex_分拆Prompt嚴格無到院\outputs\v2\.p104rv\sweep_20260906T151250Z_account-06_v2\t1\r,2ab1c972f5e42064c2c2cc7ff5689cdcaca87f0cd868cee9eabf89a66b4b610b,D:\Codex_分拆Prompt嚴格無到院\outputs\v2\.p104k10\cloud_validation_index_20260906T211456Z\task_medicine__P1__grouped_vs_naive_cv_validation.json,79e8f426869212edb0486b4ddfc998ae175f5257a28fe81ee56f76df6365ffc0
medicine__P1__grouped_vs_naive_cv,medicine,P1,sensitivity,grouped_vs_naive_cv,grouped_vs_naive_cv / patient_grouped,patient_grouped,oof_2020_2023,RAW_LOCKED_BASE_PREDICTIONS,raw,VALIDATED_COMPUTED,Full locked input feature order,d5d5e2d8a0734a0ce9af97a6606994868307c154f09eee30ee788ada6108d568,764,"0.89465 [0.866131, 0.919433]","0.196083 [0.135347, 0.272063]",15995,129,0.8946501562993168,0.8661306511432951,0.9194326865666576,0.1960832756094135,0.13534687456141292,0.2720631088090654,0.007160918010070117,0.0067515390598920115,0.007566591398555857,0.12162162162162163,-6.251953735542357e-05,0.5,0.5,0.5,0.06976744186046512,0.9993697214168663,0.47368421052631576,0.9924887330996495,9,10,15856,120,ESTIMATED,ESTIMATED,ESTIMATED,aafed358290fb1154988f8565e7fefcd0d493e5645a9235d8bffd54e199f8913,"Descriptive arm estimate. CI is an individual-arm CI, not a paired-difference CI; no significance claim for a delta. Raw layer; operating point is the recorded P104 comparator rule, not a final clinical threshold.",D:\Codex_分拆Prompt嚴格無到院\outputs\v2\.p104rv\sweep_20260906T151250Z_account-06_v2\t1\r,2ab1c972f5e42064c2c2cc7ff5689cdcaca87f0cd868cee9eabf89a66b4b610b,D:\Codex_分拆Prompt嚴格無到院\outputs\v2\.p104k10\cloud_validation_index_20260906T211456Z\task_medicine__P1__grouped_vs_naive_cv_validation.json,79e8f426869212edb0486b4ddfc998ae175f5257a28fe81ee56f76df6365ffc0
medicine__P1__grouped_vs_naive_cv,medicine,P1,sensitivity,grouped_vs_naive_cv,grouped_vs_naive_cv / patient_grouped,patient_grouped,validation_2024,RAW_LOCKED_BASE_PREDICTIONS,raw,VALIDATED_COMPUTED,Full locked input feature order,d5d5e2d8a0734a0ce9af97a6606994868307c154f09eee30ee788ada6108d568,764,"0.940944 [0.919142, 0.959612]","0.467949 [0.377181, 0.566875]",4770,98,0.9409443143695834,0.9191420831775362,0.9596118789127323,0.4679488387265004,0.3771813445818973,0.5668746848992198,0.01465681669691664,0.013339950031869928,0.015988277942546095,0.23931623931623933,0.0018867924528301887,0.5,0.5,0.5,0.14285714285714285,0.998929794520548,0.7368421052631579,0.9823195116817512,14,5,4667,84,ESTIMATED,ESTIMATED,ESTIMATED,c0ef85bd79b7e079a58a21aab89269df84d4b7d6cddbdcd8467aa3d5cf4abe78,"Descriptive arm estimate. CI is an individual-arm CI, not a paired-difference CI; no significance claim for a delta. Raw layer; operating point is the recorded P104 comparator rule, not a final clinical threshold.",D:\Codex_分拆Prompt嚴格無到院\outputs\v2\.p104rv\sweep_20260906T151250Z_account-06_v2\t1\r,2ab1c972f5e42064c2c2cc7ff5689cdcaca87f0cd868cee9eabf89a66b4b610b,D:\Codex_分拆Prompt嚴格無到院\outputs\v2\.p104k10\cloud_validation_index_20260906T211456Z\task_medicine__P1__grouped_vs_naive_cv_validation.json,79e8f426869212edb0486b4ddfc998ae175f5257a28fe81ee56f76df6365ffc0
medicine__P2__grouped_vs_naive_cv,medicine,P2,sensitivity,grouped_vs_naive_cv,grouped_vs_naive_cv / naive_row_stratified,naive_row_stratified,oof_2020_2023,RAW_LOCKED_BASE_PREDICTIONS,raw,VALIDATED_COMPUTED,Full locked input feature order,d5d5e2d8a0734a0ce9af97a6606994868307c154f09eee30ee788ada6108d568,764,"0.876532 [0.867875, 0.885008]","0.469812 [0.446278, 0.494875]",15995,1581,0.8765320752971648,0.8678754400839099,0.8850075213343968,0.46981234887105283,0.44627763793642894,0.4948750997181026,0.07854315142388234,0.07626372016229009,0.08103642165441155,0.48333833683578503,-0.0087527352297593,0.5,0.5,0.5,0.5091714104996837,0.9344387401137783,0.46,0.9455247455247455,805,945,13469,776,ESTIMATED,ESTIMATED,ESTIMATED,b8399b00cd226c8c54e6b684c712261685238606cb03b3ce2021ac7212cac994,"Descriptive arm estimate. CI is an individual-arm CI, not a paired-difference CI; no significance claim for a delta. Raw layer; operating point is the recorded P104 comparator rule, not a final clinical threshold.",D:\Codex_分拆Prompt嚴格無到院\outputs\v2\.p104rv\sweep_20260906T171453Z_account-03_v2\t3\r,151928731bd75e5baf2685bd8033c238fd5c45b0bd1bf86db618e468c308ca72,D:\Codex_分拆Prompt嚴格無到院\outputs\v2\.p104k10\cloud_validation_index_20260906T211456Z\task_medicine__P2__grouped_vs_naive_cv_validation.json,40a1b418c8962222de6eb96c9c2f0ee2094d9ea7fb6f6b7fb0681ebf928b0201
medicine__P2__grouped_vs_naive_cv,medicine,P2,sensitivity,grouped_vs_naive_cv,grouped_vs_naive_cv / naive_row_stratified,naive_row_stratified,validation_2024,RAW_LOCKED_BASE_PREDICTIONS,raw,VALIDATED_COMPUTED,Full locked input feature order,d5d5e2d8a0734a0ce9af97a6606994868307c154f09eee30ee788ada6108d568,764,"0.884963 [0.871211, 0.898697]","0.576214 [0.541138, 0.615048]",4770,568,0.8849633977113514,0.871211083795785,0.8986965327320035,0.5762144434517572,0.5411376305792653,0.6150478541442623,0.08616831282273728,0.08146956939198283,0.09065567477402457,0.5384006334125099,-0.0031446540880503146,0.5,0.5,0.5,0.5985915492957746,0.9155164207520229,0.4892086330935252,0.9440490797546012,340,355,3847,228,ESTIMATED,ESTIMATED,ESTIMATED,0780a684c7649fee5c15d381b9b48819feda53386948f4bdbde630fecbceb886,"Descriptive arm estimate. CI is an individual-arm CI, not a paired-difference CI; no significance claim for a delta. Raw layer; operating point is the recorded P104 comparator rule, not a final clinical threshold.",D:\Codex_分拆Prompt嚴格無到院\outputs\v2\.p104rv\sweep_20260906T171453Z_account-03_v2\t3\r,151928731bd75e5baf2685bd8033c238fd5c45b0bd1bf86db618e468c308ca72,D:\Codex_分拆Prompt嚴格無到院\outputs\v2\.p104k10\cloud_validation_index_20260906T211456Z\task_medicine__P2__grouped_vs_naive_cv_validation.json,40a1b418c8962222de6eb96c9c2f0ee2094d9ea7fb6f6b7fb0681ebf928b0201
medicine__P2__grouped_vs_naive_cv,medicine,P2,sensitivity,grouped_vs_naive_cv,grouped_vs_naive_cv / patient_grouped,patient_grouped,oof_2020_2023,RAW_LOCKED_BASE_PREDICTIONS,raw,VALIDATED_COMPUTED,Full locked input feature order,d5d5e2d8a0734a0ce9af97a6606994868307c154f09eee30ee788ada6108d568,764,"0.877541 [0.868692, 0.8858]","0.46543 [0.44054, 0.490729]",15995,1581,0.8775413986700504,0.8686918621821637,0.8858003351144909,0.46543012781367255,0.4405404034827799,0.49072904240243387,0.07891128138649631,0.07651894657136547,0.08127696198702199,0.4826979472140763,-0.011441075336042513,0.5,0.5,0.5,0.5205566097406704,0.930206743443874,0.4499726626571897,0.9464915996046873,823,1006,13408,758,ESTIMATED,ESTIMATED,ESTIMATED,b8399b00cd226c8c54e6b684c712261685238606cb03b3ce2021ac7212cac994,"Descriptive arm estimate. CI is an individual-arm CI, not a paired-difference CI; no significance claim for a delta. Raw layer; operating point is the recorded P104 comparator rule, not a final clinical threshold.",D:\Codex_分拆Prompt嚴格無到院\outputs\v2\.p104rv\sweep_20260906T171453Z_account-03_v2\t3\r,151928731bd75e5baf2685bd8033c238fd5c45b0bd1bf86db618e468c308ca72,D:\Codex_分拆Prompt嚴格無到院\outputs\v2\.p104k10\cloud_validation_index_20260906T211456Z\task_medicine__P2__grouped_vs_naive_cv_validation.json,40a1b418c8962222de6eb96c9c2f0ee2094d9ea7fb6f6b7fb0681ebf928b0201
medicine__P2__grouped_vs_naive_cv,medicine,P2,sensitivity,grouped_vs_naive_cv,grouped_vs_naive_cv / patient_grouped,patient_grouped,validation_2024,RAW_LOCKED_BASE_PREDICTIONS,raw,VALIDATED_COMPUTED,Full locked input feature order,d5d5e2d8a0734a0ce9af97a6606994868307c154f09eee30ee788ada6108d568,764,"0.884963 [0.870927, 0.898144]","0.576214 [0.538282, 0.615299]",4770,568,0.8849633977113514,0.8709272033838268,0.8981442504426409,0.5762144434517572,0.5382824401362022,0.6152985530316326,0.08616831282273728,0.08155268503989128,0.09077179325045623,0.5384006334125099,-0.0031446540880503146,0.5,0.5,0.5,0.5985915492957746,0.9155164207520229,0.4892086330935252,0.9440490797546012,340,355,3847,228,ESTIMATED,ESTIMATED,ESTIMATED,0780a684c7649fee5c15d381b9b48819feda53386948f4bdbde630fecbceb886,"Descriptive arm estimate. CI is an individual-arm CI, not a paired-difference CI; no significance claim for a delta. Raw layer; operating point is the recorded P104 comparator rule, not a final clinical threshold.",D:\Codex_分拆Prompt嚴格無到院\outputs\v2\.p104rv\sweep_20260906T171453Z_account-03_v2\t3\r,151928731bd75e5baf2685bd8033c238fd5c45b0bd1bf86db618e468c308ca72,D:\Codex_分拆Prompt嚴格無到院\outputs\v2\.p104k10\cloud_validation_index_20260906T211456Z\task_medicine__P2__grouped_vs_naive_cv_validation.json,40a1b418c8962222de6eb96c9c2f0ee2094d9ea7fb6f6b7fb0681ebf928b0201
medicine__P3__grouped_vs_naive_cv,medicine,P3,sensitivity,grouped_vs_naive_cv,grouped_vs_naive_cv / naive_row_stratified,naive_row_stratified,oof_2020_2023,RAW_LOCKED_BASE_PREDICTIONS,raw,VALIDATED_COMPUTED,Full locked input feature order,d5d5e2d8a0734a0ce9af97a6606994868307c154f09eee30ee788ada6108d568,764,"0.892474 [0.878185, 0.90447]","0.378771 [0.341012, 0.418541]",15995,703,0.8924740164810652,0.878184908162696,0.9044696841768077,0.3787707464834995,0.3410120241610911,0.4185405542501677,0.03295720204637105,0.03151222443500478,0.03468241217961931,0.26339285714285715,0.0026883401062832136,0.5,0.5,0.5,0.1678520625889047,0.9950954747580434,0.6113989637305699,0.962979369700038,118,75,15217,585,ESTIMATED,ESTIMATED,ESTIMATED,029fc2188114f7200302cb9e3781c2fe0079adb6347423e1e92097c1eb33ea9a,"Descriptive arm estimate. CI is an individual-arm CI, not a paired-difference CI; no significance claim for a delta. Raw layer; operating point is the recorded P104 comparator rule, not a final clinical threshold.",D:\Codex_分拆Prompt嚴格無到院\outputs\v2\.p104rv\sweep_20260906T151250Z_account-10_v2\t4\r,031c538d9b5760b1e7eaa686278bffb5ef1b7f17bfa1e785ee4c83e120bc2528,D:\Codex_分拆Prompt嚴格無到院\outputs\v2\.p104k10\cloud_validation_index_20260906T211456Z\task_medicine__P3__grouped_vs_naive_cv_validation.json,b6fef27ac2154062b6663773ce517e94c3ba7aac7fa87d41ea834ef73e19e233
medicine__P3__grouped_vs_naive_cv,medicine,P3,sensitivity,grouped_vs_naive_cv,grouped_vs_naive_cv / naive_row_stratified,naive_row_stratified,validation_2024,RAW_LOCKED_BASE_PREDICTIONS,raw,VALIDATED_COMPUTED,Full locked input feature order,d5d5e2d8a0734a0ce9af97a6606994868307c154f09eee30ee788ada6108d568,764,"0.89689 [0.87728, 0.915255]","0.369064 [0.321287, 0.434446]",4770,253,0.8968901847303248,0.8772799870689323,0.9152545308672069,0.36906420943915547,0.3212874951793539,0.4344461608808341,0.03965262977751102,0.03722018809797205,0.042037654405021184,0.25958702064896755,0.0004192872117400419,0.5,0.5,0.5,0.17391304347826086,0.9907017932255922,0.5116279069767442,0.9553800170794193,44,42,4475,209,ESTIMATED,ESTIMATED,ESTIMATED,140bd3741e53d90e3e0f0e2579abb5e63f66a3d0188a50176737c65b27e22bdc,"Descriptive arm estimate. CI is an individual-arm CI, not a paired-difference CI; no significance claim for a delta. Raw layer; operating point is the recorded P104 comparator rule, not a final clinical threshold.",D:\Codex_分拆Prompt嚴格無到院\outputs\v2\.p104rv\sweep_20260906T151250Z_account-10_v2\t4\r,031c538d9b5760b1e7eaa686278bffb5ef1b7f17bfa1e785ee4c83e120bc2528,D:\Codex_分拆Prompt嚴格無到院\outputs\v2\.p104k10\cloud_validation_index_20260906T211456Z\task_medicine__P3__grouped_vs_naive_cv_validation.json,b6fef27ac2154062b6663773ce517e94c3ba7aac7fa87d41ea834ef73e19e233
